等级,英雄身上装备等阶,英雄身上装备觉醒星级,英雄技能等级,铭文等级,神器个数|神器等级,"圣火类型|圣火等级,圣火类型|圣火等级,圣火类型|圣火等级"
level,equipAdvLv,equipStar,equipSkillLv,weaponTalentLv,treasure,flame
64,21,4,64,5,2|1,"100|50,200|50,300|44,400|34,500|15"
65,23,4,65,5,2|1,"100|50,200|50,300|45,400|35,500|20"
66,23,4,66,5,2|1,"100|50,200|50,300|46,400|36,500|22"
67,23,4,67,5,2|1,"100|50,200|50,300|47,400|37,500|25"
68,23,4,68,5,2|1,"100|50,200|50,300|48,400|38,500|27"
69,23,4,69,5,2|1,"100|50,200|50,300|49,400|39,500|29"
70,25,5,70,5,2|1,"100|50,200|50,300|50,400|40,500|30"
71,25,5,71,5,2|1,"100|50,200|50,300|50,400|41,500|31"
72,25,5,72,5,2|1,"100|50,200|50,300|50,400|42,500|32"
73,25,5,73,5,2|1,"100|50,200|50,300|50,400|43,500|33"
74,25,5,74,5,2|1,"100|50,200|50,300|50,400|44,500|34"
75,27,5,75,5,2|1,"100|50,200|50,300|50,400|45,500|35"
76,27,5,76,5,2|1,"100|50,200|50,300|50,400|46,500|36"
77,27,5,77,5,2|1,"100|50,200|50,300|50,400|47,500|37"
78,27,5,78,5,2|1,"100|50,200|50,300|50,400|48,500|38"
79,27,5,79,5,2|1,"100|50,200|50,300|50,400|49,500|39"
80,29,5,80,5,2|1,"100|50,200|50,300|50,400|50,500|40"
81,29,5,81,5,2|1,"100|50,200|50,300|50,400|50,500|41"
82,29,5,82,5,2|1,"100|50,200|50,300|50,400|50,500|42"
83,29,5,83,5,2|1,"100|50,200|50,300|50,400|50,500|43"
84,29,5,84,5,2|1,"100|50,200|50,300|50,400|50,500|44"
85,31,5,85,5,2|1,"100|50,200|50,300|50,400|50,500|45"
86,31,5,86,5,2|1,"100|50,200|50,300|50,400|50,500|46"
87,31,5,87,5,2|1,"100|50,200|50,300|50,400|50,500|47"
88,31,5,88,5,2|1,"100|50,200|50,300|50,400|50,500|48"
89,31,5,89,5,2|1,"100|50,200|50,300|50,400|50,500|49"
90,33,5,90,5,2|1,"100|50,200|50,300|50,400|50,500|50"
91,33,5,91,5,2|1,"100|50,200|50,300|50,400|50,500|50"
92,33,5,92,5,2|1,"100|50,200|50,300|50,400|50,500|50"
93,33,5,93,5,2|1,"100|50,200|50,300|50,400|50,500|50"
94,33,5,94,5,2|1,"100|50,200|50,300|50,400|50,500|50"
95,35,5,95,5,2|1,"100|50,200|50,300|50,400|50,500|50"
96,35,5,96,5,2|1,"100|50,200|50,300|50,400|50,500|50"
97,35,5,97,5,2|1,"100|50,200|50,300|50,400|50,500|50"
98,35,5,98,5,2|1,"100|50,200|50,300|50,400|50,500|50"
99,35,5,99,5,2|1,"100|50,200|50,300|50,400|50,500|50"
100,35,5,100,5,2|1,"100|50,200|50,300|50,400|50,500|50"
