进阶消耗ID(部位+当前等阶）,角色装备消耗内容,神侍装备消耗内容
id,cost,costPet
2_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
2_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
2_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
2_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
2_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
2_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
2_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
2_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
2_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
2_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
2_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
2_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
2_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
3_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
3_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
3_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
3_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
3_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
3_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
3_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
3_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
3_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
3_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
3_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
3_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
3_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
3_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
3_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
3_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
3_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
3_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
3_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
3_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
3_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
3_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
3_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
3_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
3_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
3_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
3_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
3_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
3_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
3_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
3_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
3_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
3_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
3_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
3_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
3_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
6_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
6_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
6_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
6_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
6_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
6_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
6_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
6_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
6_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
6_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
6_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
6_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
6_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
6_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
6_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
6_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
6_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
6_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
6_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
6_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
6_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
6_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
6_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
6_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
6_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
6_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
6_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
6_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
6_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
6_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
6_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
6_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
6_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
6_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
6_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
6_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
7_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
7_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
7_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
7_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
7_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
7_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
7_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
7_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
7_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
7_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
7_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
7_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
7_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
7_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
7_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
7_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
7_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
7_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
7_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
7_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
7_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
7_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
7_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
7_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
7_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
7_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
7_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
7_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
7_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
7_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
7_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
7_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
7_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
7_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
7_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
7_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
8_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
8_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
8_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
8_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
8_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
8_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
8_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
8_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
8_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
8_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
8_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
8_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
8_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
8_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
8_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
8_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
8_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
8_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
8_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
8_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
8_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
8_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
8_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
8_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
8_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
8_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
8_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
8_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
8_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
8_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
8_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
8_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
8_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
8_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
8_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
8_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
9_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
9_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
9_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
9_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
9_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
9_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
9_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
9_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
9_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
9_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
9_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
9_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
9_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
9_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
9_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
9_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
9_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
9_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
9_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
9_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
9_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
9_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
9_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
9_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
9_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
9_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
9_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
9_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
9_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
9_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
9_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
9_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
9_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
9_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
9_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
9_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
4_1,"40001|1,30000|1000","40001|1,30000|1000"
4_2,"40001|1,30000|2000","40001|1,30000|2000"
4_3,"40001|1,30000|4000","40001|1,30000|4000"
4_4,"40001|1,30000|6000","40001|1,30000|6000"
4_5,"40001|2,30000|10000","40001|2,30000|10000"
4_6,"40001|2,30000|15000","40001|2,30000|15000"
4_7,"40001|2,30000|20000","40001|2,30000|20000"
4_8,"40001|3,30000|25000","40001|3,30000|25000"
4_9,"40001|3,30000|30000","40001|3,30000|30000"
4_10,"40001|3,30000|35000","40001|3,30000|35000"
4_11,"40001|4,30000|40000","40001|4,30000|40000"
4_12,"40001|4,30000|50000","40001|4,30000|50000"
4_13,"40001|5,30000|60000","40001|5,30000|60000"
4_14,"40001|6,30000|70000","40001|6,30000|70000"
4_15,"40001|8,30000|80000","40001|8,30000|80000"
4_16,"40001|10,30000|100000","40001|10,30000|100000"
4_17,"40001|12,30000|120000","40001|12,30000|120000"
4_18,"40001|14,30000|140000","40001|14,30000|140000"
4_19,"40001|17,30000|160000","40001|17,30000|160000"
4_20,"40001|20,30000|180000","40001|20,30000|180000"
4_21,"40001|25,30000|200000","40001|25,30000|200000"
4_22,"40001|30,30000|220000","40001|30,30000|220000"
4_23,"40001|35,30000|240000","40001|35,30000|240000"
4_24,"40001|40,30000|260000","40001|40,30000|260000"
4_25,"40001|45,30000|280000","40001|45,30000|280000"
4_26,"40001|50,30000|300000","40001|50,30000|300000"
4_27,"40001|60,30000|320000","40001|60,30000|320000"
4_28,"40001|70,30000|340000","40001|70,30000|340000"
4_29,"40001|80,30000|360000","40001|80,30000|360000"
4_30,"40001|90,30000|380000","40001|90,30000|380000"
4_31,"40001|100,30000|400000","40001|100,30000|400000"
4_32,"40001|110,30000|420000","40001|110,30000|420000"
4_33,"40001|120,30000|440000","40001|120,30000|440000"
4_34,"40001|130,30000|460000","40001|130,30000|460000"
4_35,"40001|140,30000|480000","40001|140,30000|480000"
4_36,"40001|150,30000|500000","40001|150,30000|500000"
5_1,"40101|1,30000|1000","40101|1,30000|1000"
5_2,"40101|1,30000|2000","40101|1,30000|2000"
5_3,"40101|1,30000|4000","40101|1,30000|4000"
5_4,"40101|1,30000|6000","40101|1,30000|6000"
5_5,"40101|2,30000|10000","40101|2,30000|10000"
5_6,"40101|2,30000|15000","40101|2,30000|15000"
5_7,"40101|2,30000|20000","40101|2,30000|20000"
5_8,"40101|3,30000|25000","40101|3,30000|25000"
5_9,"40101|3,30000|30000","40101|3,30000|30000"
5_10,"40101|3,30000|35000","40101|3,30000|35000"
5_11,"40101|4,30000|40000","40101|4,30000|40000"
5_12,"40101|4,30000|50000","40101|4,30000|50000"
5_13,"40101|5,30000|60000","40101|5,30000|60000"
5_14,"40101|6,30000|70000","40101|6,30000|70000"
5_15,"40101|8,30000|80000","40101|8,30000|80000"
5_16,"40101|10,30000|100000","40101|10,30000|100000"
5_17,"40101|12,30000|120000","40101|12,30000|120000"
5_18,"40101|14,30000|140000","40101|14,30000|140000"
5_19,"40101|17,30000|160000","40101|17,30000|160000"
5_20,"40101|20,30000|180000","40101|20,30000|180000"
5_21,"40101|25,30000|200000","40101|25,30000|200000"
5_22,"40101|30,30000|220000","40101|30,30000|220000"
5_23,"40101|35,30000|240000","40101|35,30000|240000"
5_24,"40101|40,30000|260000","40101|40,30000|260000"
5_25,"40101|45,30000|280000","40101|45,30000|280000"
5_26,"40101|50,30000|300000","40101|50,30000|300000"
5_27,"40101|60,30000|320000","40101|60,30000|320000"
5_28,"40101|70,30000|340000","40101|70,30000|340000"
5_29,"40101|80,30000|360000","40101|80,30000|360000"
5_30,"40101|90,30000|380000","40101|90,30000|380000"
5_31,"40101|100,30000|400000","40101|100,30000|400000"
5_32,"40101|110,30000|420000","40101|110,30000|420000"
5_33,"40101|120,30000|440000","40101|120,30000|440000"
5_34,"40101|130,30000|460000","40101|130,30000|460000"
5_35,"40101|140,30000|480000","40101|140,30000|480000"
5_36,"40101|150,30000|500000","40101|150,30000|500000"
