角色id,ID,名字,描述,简短描述,连击开启等级,升级消耗,开启宠物星级,铭文,战斗力系数
cw_5,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_5,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_6,gongji01,大力神重拳,海格力斯运用天生神力，连出两记重拳，最后怒击地面，对敌人造成范围伤害。,,,1000,1,,{skill:combat}
cw_6,jineng_juedoushiboji01,喀戎之怒,海格力斯得到人马贤者喀戎的传授，发起无敌的冲刺，对敌人造成伤害和眩晕效果，冲刺期间免疫控制技能，且可减免伤害。,,,1000,1,,{skill:combat}
cw_6,jineng_didongshanyao,地裂山崩,愤怒的海格力斯运用强大的魔法，跳起后猛砸地面，向前方发出一道很宽的冲击波，对敌人造成伤害并嘲讽周围目标。,,,1000,2,,{skill:combat}
cw_6,jineng_liliangjiefang,力量解放,海格力斯将全身力量解放出来，猛砸地面，在以砸地点为中心的圆形范围内连续喷出数次气流和光柱，造成强大的范围伤害。,,,1000,3,,{skill:combat}
cw_7,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_7,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_7,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_7,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_8,gongji01,复仇梦魇,美狄亚释放出具有强烈复仇欲望的梦魇，对路径上的敌人造成伤害并有概率令其进入恐惧状态。,,,1000,1,,{skill:combat}
cw_8,xianxuejidian,秘之祭典,美狄亚运用秘法，召唤幽魂治疗一个友方单位。,,,1000,1,,{skill:combat}
cw_8,jineng_siwangchanrao,死亡缠绕,美狄亚召唤出择人而噬的凶魂，对敌人造成持续伤害并降低敌人的防御力。,,,1000,2,,{skill:combat}
cw_8,jineng_mingjiedeguihuan,失序的幽魂,美狄亚放出混乱的白色幽魂，对敌人造成伤害并使其眩晕。,,,1000,3,,{skill:combat}
cw_9,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_9,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_9,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_9,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_10,gongji01,黑暗女神普攻,黑暗女神普攻,,,1000,1,,{skill:combat}
cw_10,jineng_siwangchanrao,黑暗女神技能1,黑暗女神技能1,,,1000,1,,{skill:combat}
cw_10,jineng_mingjiedeguihuan,黑暗女神技能2,黑暗女神技能2,,,1000,2,,{skill:combat}
cw_11,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_11,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_11,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_11,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_12,gongji01,黑暗女神普攻,黑暗女神普攻,,,1000,1,,{skill:combat}
cw_12,jineng_siwangchanrao,黑暗女神技能1,黑暗女神技能1,,,1000,1,,{skill:combat}
cw_12,jineng_mingjiedeguihuan,黑暗女神技能2,黑暗女神技能2,,,1000,2,,{skill:combat}
cw_13,gongji01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_13,dahuixuan_01,薛西斯大回旋01,薛西斯大回旋01,,,1000,1,,{skill:combat}
cw_13,dizheng_01,薛西斯地震01,薛西斯地震01,,,1000,2,,{skill:combat}
cw_13,dizheng_02,薛西斯地震02,薛西斯地震02,,,1000,2,,{skill:combat}
cw_13,dizheng_03,薛西斯地震03,薛西斯地震03,,,1000,2,,{skill:combat}
cw_13,dizheng_04,薛西斯地震04,薛西斯地震04,,,1000,2,,{skill:combat}
cw_13,dizheng_05,薛西斯地震05,薛西斯地震05,,,1000,2,,{skill:combat}
cw_13,zhaohuanfenshen,薛西斯召唤分身,薛西斯召唤分身,,,1000,3,,{skill:combat}
cw_14,gongji01,复仇女神普攻,复仇女神普攻,,,1000,1,,{skill:combat}
cw_14,congtianerjiang01,复仇女神从天而降,复仇女神从天而降,,,1000,1,,{skill:combat}
cw_14,congtianerjiang02,复仇女神从天而降,复仇女神从天而降,,,1000,1,,{skill:combat}
cw_14,congtianerjiang03,复仇女神从天而降,复仇女神从天而降,,,1000,1,,{skill:combat}
cw_14,dicigongji,复仇女神地刺攻击,复仇女神地刺攻击,,,1000,2,,{skill:combat}
cw_14,zhuarenfengbao,复仇女神爪刃风暴,复仇女神爪刃风暴,,,1000,3,,{skill:combat}
kratos,5lianji01,屠龙之刃,舞动链刃左劈右砍，最后加以一记重砸，其威力可以杀死凶猛的恶龙。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
kratos,jineng01_01_dahuixuan,墨西拿漩涡,运用墨西拿海峡中卡律布狄斯漩涡的力量，将链刃舞动得像吞噬万物的漩涡一样。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"1,2",{skill:combat}
kratos,jineng02_01_shuzhizhongji,高加索鹰击,抖动链刃，像高加索神鹰捕捉猎物一样迅速出击，使面前的敌人猝不及防。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"3,4",{skill:combat}
kratos,jineng03_01_zhongjifei,灵魂撕裂,向四面八方挥出链刃，链刃所及之处，甚至连飘荡的灵魂也无法幸免。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"5,6",{skill:combat}
kratos,4lianji01_dj,英仙剑斩,运用英仙座珀尔修斯的剑术连出四剑，使四周的敌人心胆俱裂，不敢近身。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
kratos,jineng01_01_zhongza_dj,提丰之灾,得到巨人提丰的祝福，剑上附着了飓风的力量，连人带剑旋转得像旋风一般。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"7,8",{skill:combat}
kratos,jineng02_01_zhuizongzhan_dj,席拉之火,运用火焰泰坦席拉的力量，挥动带着魔火的巨剑直冲向前，使敌人无法脱逃。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"9,10",{skill:combat}
kratos,jineng03_01_banyuezhan_dj,诸神之怒,将众神的怒火凝集在巨剑之上，连续挥动跳劈，其威力可以毁灭大地。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,"11,12",{skill:combat}
kratos,3lianji01_mc,安泰之力,抡起大锤，旋转挥舞，将巨大的重锤使用得如同安泰俄斯一样轻而易举。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
kratos,jineng01_01_liediji_mc,神灭之锤,抡起大锤，施以三下重砸，攻击范围笼罩下，即使是众神也会灰飞烟灭。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
kratos,jineng02_01_chongcitiaoji_mc,大力神冲撞,运用大力神的力量，用重锤冲撞重砸敌人，使触到的敌人全化为齑粉。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
kratos,jineng03_xuli01_mc,泰坦之怒,得到创世泰坦们的祝福，愤怒的挥舞巨锤，巨锤所到处，山崩地裂。升级对目标造成的伤害提高<color=green>{skill_next:miaoshu}%</color>。,升级 伤害+{skill_next:miaoshu}%,"1,1",2000,,,{skill:combat}
