装备类型+装备当前等级,消耗内容
id,cost
3_4,"30000|50,40200|2"
3_5,"30000|100,40200|3"
3_6,"30000|100,40200|3"
3_7,"30000|100,40200|3"
3_8,"30000|100,40200|3"
3_9,"30000|100,40200|3"
3_10,"30000|500,40200|3"
3_11,"30000|500,40200|3"
3_12,"30000|500,40200|3"
3_13,"30000|500,40200|3"
3_14,"30000|500,40200|3"
3_15,"30000|1000,40200|5"
3_16,"30000|1000,40200|10"
3_17,"30000|1000,40200|15"
3_18,"30000|1000,40200|20"
3_19,"30000|1000,40200|30"
3_20,"30000|2000,40200|30"
3_21,"30000|2000,40200|30"
3_22,"30000|2000,40200|30"
3_23,"30000|2000,40200|30"
3_24,"30000|2000,40200|30"
3_25,"30000|2500,40200|30"
3_26,"30000|2500,40200|30"
3_27,"30000|2500,40200|30"
3_28,"30000|2500,40200|30"
3_29,"30000|2500,40200|30"
3_30,"30000|4000,40200|30"
3_31,"30000|4000,40200|30"
3_32,"30000|4000,40200|30"
3_33,"30000|4000,40200|30"
3_34,"30000|4000,40200|30"
3_35,"30000|7000,40200|50"
3_36,"30000|7000,40200|50"
3_37,"30000|7000,40200|50"
3_38,"30000|7000,40200|50"
3_39,"30000|7000,40200|50"
3_40,"30000|11500,40200|90"
3_41,"30000|11500,40200|90"
3_42,"30000|11500,40200|90"
3_43,"30000|11500,40200|90"
3_44,"30000|11500,40200|90"
3_45,"30000|20000,40200|165"
3_46,"30000|20000,40200|165"
3_47,"30000|20000,40200|165"
3_48,"30000|20000,40200|165"
3_49,"30000|20000,40200|165"
3_50,"30000|32000,40200|245"
3_51,"30000|32000,40200|245"
3_52,"30000|32000,40200|245"
3_53,"30000|32000,40200|245"
3_54,"30000|32000,40200|245"
3_55,"30000|54000,40200|365"
3_56,"30000|54000,40200|365"
3_57,"30000|54000,40200|365"
3_58,"30000|54000,40200|365"
3_59,"30000|54000,40200|365"
3_60,"30000|83000,40200|530"
3_61,"30000|83000,40200|530"
3_62,"30000|83000,40200|530"
3_63,"30000|83000,40200|530"
3_64,"30000|83000,40200|530"
3_65,"30000|140000,40200|735"
3_66,"30000|140000,40200|735"
3_67,"30000|140000,40200|735"
3_68,"30000|140000,40200|735"
3_69,"30000|140000,40200|735"
3_70,"30000|190000,40200|990"
3_71,"30000|190000,40200|990"
3_72,"30000|190000,40200|990"
3_73,"30000|190000,40200|990"
3_74,"30000|190000,40200|990"
3_75,"30000|280000,40200|1260"
3_76,"30000|280000,40200|1260"
3_77,"30000|280000,40200|1260"
3_78,"30000|280000,40200|1260"
3_79,"30000|280000,40200|1260"
3_80,"30000|360000,40200|1530"
3_81,"30000|360000,40200|1530"
3_82,"30000|360000,40200|1530"
3_83,"30000|360000,40200|1530"
3_84,"30000|360000,40200|1530"
3_85,"30000|480000,40200|1805"
3_86,"30000|480000,40200|1805"
3_87,"30000|480000,40200|1805"
3_88,"30000|480000,40200|1805"
3_89,"30000|480000,40200|1805"
3_90,"30000|590000,40200|2075"
3_91,"30000|590000,40200|2075"
3_92,"30000|590000,40200|2075"
3_93,"30000|590000,40200|2075"
3_94,"30000|590000,40200|2075"
3_95,"30000|750000,40200|2345"
3_96,"30000|750000,40200|2345"
3_97,"30000|750000,40200|2345"
3_98,"30000|750000,40200|2345"
3_99,"30000|750000,40200|2345"
6_0,"30000|0,40200|0"
6_1,"30000|50,40200|2"
6_2,"30000|50,40200|2"
6_3,"30000|50,40200|2"
6_4,"30000|50,40200|2"
6_5,"30000|100,40200|3"
6_6,"30000|100,40200|3"
6_7,"30000|100,40200|3"
6_8,"30000|100,40200|3"
6_9,"30000|100,40200|3"
6_10,"30000|500,40200|3"
6_11,"30000|500,40200|3"
6_12,"30000|500,40200|3"
6_13,"30000|500,40200|3"
6_14,"30000|500,40200|3"
6_15,"30000|1000,40200|5"
6_16,"30000|1000,40200|10"
6_17,"30000|1000,40200|15"
6_18,"30000|1000,40200|20"
6_19,"30000|1000,40200|30"
6_20,"30000|2000,40200|30"
6_21,"30000|2000,40200|30"
6_22,"30000|2000,40200|30"
6_23,"30000|2000,40200|30"
6_24,"30000|2000,40200|30"
6_25,"30000|2500,40200|30"
6_26,"30000|2500,40200|30"
6_27,"30000|2500,40200|30"
6_28,"30000|2500,40200|30"
6_29,"30000|2500,40200|30"
6_30,"30000|4000,40200|30"
6_31,"30000|4000,40200|30"
6_32,"30000|4000,40200|30"
6_33,"30000|4000,40200|30"
6_34,"30000|4000,40200|30"
6_35,"30000|7000,40200|50"
6_36,"30000|7000,40200|50"
6_37,"30000|7000,40200|50"
6_38,"30000|7000,40200|50"
6_39,"30000|7000,40200|50"
6_40,"30000|11500,40200|90"
6_41,"30000|11500,40200|90"
6_42,"30000|11500,40200|90"
6_43,"30000|11500,40200|90"
6_44,"30000|11500,40200|90"
6_45,"30000|20000,40200|165"
6_46,"30000|20000,40200|165"
6_47,"30000|20000,40200|165"
6_48,"30000|20000,40200|165"
6_49,"30000|20000,40200|165"
6_50,"30000|32000,40200|245"
6_51,"30000|32000,40200|245"
6_52,"30000|32000,40200|245"
6_53,"30000|32000,40200|245"
6_54,"30000|32000,40200|245"
6_55,"30000|54000,40200|365"
6_56,"30000|54000,40200|365"
6_57,"30000|54000,40200|365"
6_58,"30000|54000,40200|365"
6_59,"30000|54000,40200|365"
6_60,"30000|83000,40200|530"
6_61,"30000|83000,40200|530"
6_62,"30000|83000,40200|530"
6_63,"30000|83000,40200|530"
6_64,"30000|83000,40200|530"
6_65,"30000|140000,40200|735"
6_66,"30000|140000,40200|735"
6_67,"30000|140000,40200|735"
6_68,"30000|140000,40200|735"
6_69,"30000|140000,40200|735"
6_70,"30000|190000,40200|990"
6_71,"30000|190000,40200|990"
6_72,"30000|190000,40200|990"
6_73,"30000|190000,40200|990"
6_74,"30000|190000,40200|990"
6_75,"30000|280000,40200|1260"
6_76,"30000|280000,40200|1260"
6_77,"30000|280000,40200|1260"
6_78,"30000|280000,40200|1260"
6_79,"30000|280000,40200|1260"
6_80,"30000|360000,40200|1530"
6_81,"30000|360000,40200|1530"
6_82,"30000|360000,40200|1530"
6_83,"30000|360000,40200|1530"
6_84,"30000|360000,40200|1530"
6_85,"30000|480000,40200|1805"
6_86,"30000|480000,40200|1805"
6_87,"30000|480000,40200|1805"
6_88,"30000|480000,40200|1805"
6_89,"30000|480000,40200|1805"
6_90,"30000|590000,40200|2075"
6_91,"30000|590000,40200|2075"
6_92,"30000|590000,40200|2075"
6_93,"30000|590000,40200|2075"
6_94,"30000|590000,40200|2075"
6_95,"30000|750000,40200|2345"
6_96,"30000|750000,40200|2345"
6_97,"30000|750000,40200|2345"
6_98,"30000|750000,40200|2345"
6_99,"30000|750000,40200|2345"
7_0,"30000|0,40200|0"
7_1,"30000|50,40200|2"
7_2,"30000|50,40200|2"
7_3,"30000|50,40200|2"
7_4,"30000|50,40200|2"
7_5,"30000|100,40200|3"
7_6,"30000|100,40200|3"
7_7,"30000|100,40200|3"
7_8,"30000|100,40200|3"
7_9,"30000|100,40200|3"
7_10,"30000|500,40200|3"
7_11,"30000|500,40200|3"
7_12,"30000|500,40200|3"
7_13,"30000|500,40200|3"
7_14,"30000|500,40200|3"
7_15,"30000|1000,40200|5"
7_16,"30000|1000,40200|10"
7_17,"30000|1000,40200|15"
7_18,"30000|1000,40200|20"
7_19,"30000|1000,40200|30"
7_20,"30000|2000,40200|30"
7_21,"30000|2000,40200|30"
7_22,"30000|2000,40200|30"
7_23,"30000|2000,40200|30"
7_24,"30000|2000,40200|30"
7_25,"30000|2500,40200|30"
7_26,"30000|2500,40200|30"
7_27,"30000|2500,40200|30"
7_28,"30000|2500,40200|30"
7_29,"30000|2500,40200|30"
7_30,"30000|4000,40200|30"
7_31,"30000|4000,40200|30"
7_32,"30000|4000,40200|30"
7_33,"30000|4000,40200|30"
7_34,"30000|4000,40200|30"
7_35,"30000|7000,40200|50"
7_36,"30000|7000,40200|50"
7_37,"30000|7000,40200|50"
7_38,"30000|7000,40200|50"
7_39,"30000|7000,40200|50"
7_40,"30000|11500,40200|90"
7_41,"30000|11500,40200|90"
7_42,"30000|11500,40200|90"
7_43,"30000|11500,40200|90"
7_44,"30000|11500,40200|90"
7_45,"30000|20000,40200|165"
7_46,"30000|20000,40200|165"
7_47,"30000|20000,40200|165"
7_48,"30000|20000,40200|165"
7_49,"30000|20000,40200|165"
7_50,"30000|32000,40200|245"
7_51,"30000|32000,40200|245"
7_52,"30000|32000,40200|245"
7_53,"30000|32000,40200|245"
7_54,"30000|32000,40200|245"
7_55,"30000|54000,40200|365"
7_56,"30000|54000,40200|365"
7_57,"30000|54000,40200|365"
7_58,"30000|54000,40200|365"
7_59,"30000|54000,40200|365"
7_60,"30000|83000,40200|530"
7_61,"30000|83000,40200|530"
7_62,"30000|83000,40200|530"
7_63,"30000|83000,40200|530"
7_64,"30000|83000,40200|530"
7_65,"30000|140000,40200|735"
7_66,"30000|140000,40200|735"
7_67,"30000|140000,40200|735"
7_68,"30000|140000,40200|735"
7_69,"30000|140000,40200|735"
7_70,"30000|190000,40200|990"
7_71,"30000|190000,40200|990"
7_72,"30000|190000,40200|990"
7_73,"30000|190000,40200|990"
7_74,"30000|190000,40200|990"
7_75,"30000|280000,40200|1260"
7_76,"30000|280000,40200|1260"
7_77,"30000|280000,40200|1260"
7_78,"30000|280000,40200|1260"
7_79,"30000|280000,40200|1260"
7_80,"30000|360000,40200|1530"
7_81,"30000|360000,40200|1530"
7_82,"30000|360000,40200|1530"
7_83,"30000|360000,40200|1530"
7_84,"30000|360000,40200|1530"
7_85,"30000|480000,40200|1805"
7_86,"30000|480000,40200|1805"
7_87,"30000|480000,40200|1805"
7_88,"30000|480000,40200|1805"
7_89,"30000|480000,40200|1805"
7_90,"30000|590000,40200|2075"
7_91,"30000|590000,40200|2075"
7_92,"30000|590000,40200|2075"
7_93,"30000|590000,40200|2075"
7_94,"30000|590000,40200|2075"
7_95,"30000|750000,40200|2345"
7_96,"30000|750000,40200|2345"
7_97,"30000|750000,40200|2345"
7_98,"30000|750000,40200|2345"
7_99,"30000|750000,40200|2345"
8_0,"30000|0,40200|0"
8_1,"30000|50,40200|2"
8_2,"30000|50,40200|2"
8_3,"30000|50,40200|2"
8_4,"30000|50,40200|2"
8_5,"30000|100,40200|3"
8_6,"30000|100,40200|3"
8_7,"30000|100,40200|3"
8_8,"30000|100,40200|3"
8_9,"30000|100,40200|3"
8_10,"30000|500,40200|3"
8_11,"30000|500,40200|3"
8_12,"30000|500,40200|3"
8_13,"30000|500,40200|3"
8_14,"30000|500,40200|3"
8_15,"30000|1000,40200|5"
8_16,"30000|1000,40200|10"
8_17,"30000|1000,40200|15"
8_18,"30000|1000,40200|20"
8_19,"30000|1000,40200|30"
8_20,"30000|2000,40200|30"
8_21,"30000|2000,40200|30"
8_22,"30000|2000,40200|30"
8_23,"30000|2000,40200|30"
8_24,"30000|2000,40200|30"
8_25,"30000|2500,40200|30"
8_26,"30000|2500,40200|30"
8_27,"30000|2500,40200|30"
8_28,"30000|2500,40200|30"
8_29,"30000|2500,40200|30"
8_30,"30000|4000,40200|30"
8_31,"30000|4000,40200|30"
8_32,"30000|4000,40200|30"
8_33,"30000|4000,40200|30"
8_34,"30000|4000,40200|30"
8_35,"30000|7000,40200|50"
8_36,"30000|7000,40200|50"
8_37,"30000|7000,40200|50"
8_38,"30000|7000,40200|50"
8_39,"30000|7000,40200|50"
8_40,"30000|11500,40200|90"
8_41,"30000|11500,40200|90"
8_42,"30000|11500,40200|90"
8_43,"30000|11500,40200|90"
8_44,"30000|11500,40200|90"
8_45,"30000|20000,40200|165"
8_46,"30000|20000,40200|165"
8_47,"30000|20000,40200|165"
8_48,"30000|20000,40200|165"
8_49,"30000|20000,40200|165"
8_50,"30000|32000,40200|245"
8_51,"30000|32000,40200|245"
8_52,"30000|32000,40200|245"
8_53,"30000|32000,40200|245"
8_54,"30000|32000,40200|245"
8_55,"30000|54000,40200|365"
8_56,"30000|54000,40200|365"
8_57,"30000|54000,40200|365"
8_58,"30000|54000,40200|365"
8_59,"30000|54000,40200|365"
8_60,"30000|83000,40200|530"
8_61,"30000|83000,40200|530"
8_62,"30000|83000,40200|530"
8_63,"30000|83000,40200|530"
8_64,"30000|83000,40200|530"
8_65,"30000|140000,40200|735"
8_66,"30000|140000,40200|735"
8_67,"30000|140000,40200|735"
8_68,"30000|140000,40200|735"
8_69,"30000|140000,40200|735"
8_70,"30000|190000,40200|990"
8_71,"30000|190000,40200|990"
8_72,"30000|190000,40200|990"
8_73,"30000|190000,40200|990"
8_74,"30000|190000,40200|990"
8_75,"30000|280000,40200|1260"
8_76,"30000|280000,40200|1260"
8_77,"30000|280000,40200|1260"
8_78,"30000|280000,40200|1260"
8_79,"30000|280000,40200|1260"
8_80,"30000|360000,40200|1530"
8_81,"30000|360000,40200|1530"
8_82,"30000|360000,40200|1530"
8_83,"30000|360000,40200|1530"
8_84,"30000|360000,40200|1530"
8_85,"30000|480000,40200|1805"
8_86,"30000|480000,40200|1805"
8_87,"30000|480000,40200|1805"
8_88,"30000|480000,40200|1805"
8_89,"30000|480000,40200|1805"
8_90,"30000|590000,40200|2075"
8_91,"30000|590000,40200|2075"
8_92,"30000|590000,40200|2075"
8_93,"30000|590000,40200|2075"
8_94,"30000|590000,40200|2075"
8_95,"30000|750000,40200|2345"
8_96,"30000|750000,40200|2345"
8_97,"30000|750000,40200|2345"
8_98,"30000|750000,40200|2345"
8_99,"30000|750000,40200|2345"
9_0,"30000|0,40200|0"
9_1,"30000|50,40200|2"
9_2,"30000|50,40200|2"
9_3,"30000|50,40200|2"
9_4,"30000|50,40200|2"
9_5,"30000|100,40200|3"
9_6,"30000|100,40200|3"
9_7,"30000|100,40200|3"
9_8,"30000|100,40200|3"
9_9,"30000|100,40200|3"
9_10,"30000|500,40200|3"
9_11,"30000|500,40200|3"
9_12,"30000|500,40200|3"
9_13,"30000|500,40200|3"
9_14,"30000|500,40200|3"
9_15,"30000|1000,40200|5"
9_16,"30000|1000,40200|10"
9_17,"30000|1000,40200|15"
9_18,"30000|1000,40200|20"
9_19,"30000|1000,40200|30"
9_20,"30000|2000,40200|30"
9_21,"30000|2000,40200|30"
9_22,"30000|2000,40200|30"
9_23,"30000|2000,40200|30"
9_24,"30000|2000,40200|30"
9_25,"30000|2500,40200|30"
9_26,"30000|2500,40200|30"
9_27,"30000|2500,40200|30"
9_28,"30000|2500,40200|30"
9_29,"30000|2500,40200|30"
9_30,"30000|4000,40200|30"
9_31,"30000|4000,40200|30"
9_32,"30000|4000,40200|30"
9_33,"30000|4000,40200|30"
9_34,"30000|4000,40200|30"
9_35,"30000|7000,40200|50"
9_36,"30000|7000,40200|50"
9_37,"30000|7000,40200|50"
9_38,"30000|7000,40200|50"
9_39,"30000|7000,40200|50"
9_40,"30000|11500,40200|90"
9_41,"30000|11500,40200|90"
9_42,"30000|11500,40200|90"
9_43,"30000|11500,40200|90"
9_44,"30000|11500,40200|90"
9_45,"30000|20000,40200|165"
9_46,"30000|20000,40200|165"
9_47,"30000|20000,40200|165"
9_48,"30000|20000,40200|165"
9_49,"30000|20000,40200|165"
9_50,"30000|32000,40200|245"
9_51,"30000|32000,40200|245"
9_52,"30000|32000,40200|245"
9_53,"30000|32000,40200|245"
9_54,"30000|32000,40200|245"
9_55,"30000|54000,40200|365"
9_56,"30000|54000,40200|365"
9_57,"30000|54000,40200|365"
9_58,"30000|54000,40200|365"
9_59,"30000|54000,40200|365"
9_60,"30000|83000,40200|530"
9_61,"30000|83000,40200|530"
9_62,"30000|83000,40200|530"
9_63,"30000|83000,40200|530"
9_64,"30000|83000,40200|530"
9_65,"30000|140000,40200|735"
9_66,"30000|140000,40200|735"
9_67,"30000|140000,40200|735"
9_68,"30000|140000,40200|735"
9_69,"30000|140000,40200|735"
9_70,"30000|190000,40200|990"
9_71,"30000|190000,40200|990"
9_72,"30000|190000,40200|990"
9_73,"30000|190000,40200|990"
9_74,"30000|190000,40200|990"
9_75,"30000|280000,40200|1260"
9_76,"30000|280000,40200|1260"
9_77,"30000|280000,40200|1260"
9_78,"30000|280000,40200|1260"
9_79,"30000|280000,40200|1260"
9_80,"30000|360000,40200|1530"
9_81,"30000|360000,40200|1530"
9_82,"30000|360000,40200|1530"
9_83,"30000|360000,40200|1530"
9_84,"30000|360000,40200|1530"
9_85,"30000|480000,40200|1805"
9_86,"30000|480000,40200|1805"
9_87,"30000|480000,40200|1805"
9_88,"30000|480000,40200|1805"
9_89,"30000|480000,40200|1805"
9_90,"30000|590000,40200|2075"
9_91,"30000|590000,40200|2075"
9_92,"30000|590000,40200|2075"
9_93,"30000|590000,40200|2075"
9_94,"30000|590000,40200|2075"
9_95,"30000|750000,40200|2345"
9_96,"30000|750000,40200|2345"
9_97,"30000|750000,40200|2345"
9_98,"30000|750000,40200|2345"
9_99,"30000|750000,40200|2345"
4_0,"30000|0,40000|0"
4_1,"30000|50,40000|1"
4_2,"30000|50,40000|1"
4_3,"30000|50,40000|1"
4_4,"30000|50,40000|1"
4_5,"30000|100,40000|1"
4_6,"30000|100,40000|1"
4_7,"30000|100,40000|1"
4_8,"30000|100,40000|1"
4_9,"30000|100,40000|1"
4_10,"30000|500,40000|1"
4_11,"30000|500,40000|1"
4_12,"30000|500,40000|1"
4_13,"30000|500,40000|1"
4_14,"30000|500,40000|1"
4_15,"30000|1000,40000|1"
4_16,"30000|1000,40000|1"
