ID,名称,装备位,说明,大图标,小图标,绑定,允许出售,价格id,状态ID,基础属性ID,升级属性分配比例ID,星级,觉醒后装备ID,觉醒消耗ID,武器ID,战斗力初值,战斗力倍数,战斗力系数,觉醒描述
11103,奥林匹斯之剑,7,,,ui_equip_icon_03,是,0,,10020,v_zb_11100,d_zb_11100,3,11104,jx_1_4,2,3.11,1,0.03,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
11104,奥林匹斯之剑,7,,,ui_equip_icon_03,是,0,,10020,v_zb_11100,d_zb_11100,4,11105,jx_1_5,2,3.11,1,0.03,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
11105,奥林匹斯之剑,7,,,ui_equip_icon_03,是,0,,10020,v_zb_11100,d_zb_11100,5,,,2,3.11,1,0.03,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
11200,野蛮之锤,8,,,ui_equip_icon_07,是,0,,,v_zb_11200,d_zb_11200,0,11201,jx_2_1,3,3.11,1,0,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11201,天罚之锤,8,,,ui_equip_icon_07,是,0,,10030,v_zb_11200,d_zb_11200,1,11202,jx_2_2,3,3.11,1,0.03,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11202,天罚之锤,8,,,ui_equip_icon_07,是,0,,10030,v_zb_11200,d_zb_11200,2,11203,jx_2_3,3,3.11,1,0.03,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11203,天罚之锤,8,,,ui_equip_icon_07,是,0,,10030,v_zb_11200,d_zb_11200,3,11204,jx_2_4,3,3.11,1,0.03,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11204,天罚之锤,8,,,ui_equip_icon_07,是,0,,10030,v_zb_11200,d_zb_11200,4,11205,jx_2_5,3,3.11,1,0.03,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11205,天罚之锤,8,,,ui_equip_icon_07,是,0,,10030,v_zb_11200,d_zb_11200,5,,,3,3.11,1,0.03,觉醒<color=#37c21b>天罚之锤</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标眩晕，持续<color=#37c21b>2.5</color>秒，冷却时间<color=#37c21b>10</color>秒。
11300,斯巴达武装,9,,,ui_equip_icon_02,是,0,,,v_zb_11300,d_zb_11300,0,11301,jx_3_1,,3.11,1,0,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
11301,列奥尼达武装,9,,,ui_equip_icon_02,是,0,,10040,v_zb_11300,d_zb_11300,1,11302,jx_3_2,,3.11,1,0.03,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
11302,列奥尼达武装,9,,,ui_equip_icon_02,是,0,,10040,v_zb_11300,d_zb_11300,2,11303,jx_3_3,,3.11,1,0.03,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
11303,列奥尼达武装,9,,,ui_equip_icon_02,是,0,,10040,v_zb_11300,d_zb_11300,3,11304,jx_3_4,,3.11,1,0.03,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
11304,列奥尼达武装,9,,,ui_equip_icon_02,是,0,,10040,v_zb_11300,d_zb_11300,4,11305,jx_3_5,,3.11,1,0.03,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
11305,列奥尼达武装,9,,,ui_equip_icon_02,是,0,,10040,v_zb_11300,d_zb_11300,5,,,,3.11,1,0.03,觉醒<color=#37c21b>列奥尼达武装</color>，对目标造成伤害时，<color=#37c21b>10%</color>几率使目标沉默，持续<color=#37c21b>2</color>秒，冷却时间<color=#37c21b>10</color>秒。
12000,大力神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,0,12001,jx_4_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
12001,泰坦神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,1,12002,jx_4_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
12002,泰坦神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,2,12003,jx_4_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
12003,泰坦神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,3,12004,jx_4_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
12004,泰坦神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,4,12005,jx_4_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
12005,泰坦神护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_12000,d_zb_12000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13000,神武者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,0,13001,jx_5_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13001,血嗜者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,1,13002,jx_5_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13002,血嗜者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,2,13003,jx_5_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13003,血嗜者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,3,13004,jx_5_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13004,血嗜者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,4,13005,jx_5_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
13005,血嗜者护腕,1,,,ui_equip_icon_01,是,0,,,v_zb_13000,d_zb_13000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14000,虔诚者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,0,14001,jx_6_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14001,不屈者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,1,14002,jx_6_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14002,不屈者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,2,14003,jx_6_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14003,不屈者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,3,14004,jx_6_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14004,不屈者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,4,14005,jx_6_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
14005,不屈者腰带,2,,,ui_equip_icon_08,是,0,,,v_zb_14000,d_zb_14000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15000,践躏之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,0,15001,jx_7_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15001,放逐之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,1,15002,jx_7_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15002,放逐之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,2,15003,jx_7_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15003,放逐之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,3,15004,jx_7_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15004,放逐之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,4,15005,jx_7_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
15005,放逐之靴,3,,,ui_equip_icon_09,是,0,,,v_zb_15000,d_zb_15000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16000,英灵护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,0,16001,jx_8_1,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16001,末日护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,1,16002,jx_8_2,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16002,末日护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,2,16003,jx_8_3,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16003,末日护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,3,16004,jx_8_4,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16004,末日护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,4,16005,jx_8_5,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
16005,末日护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_16000,d_zb_16000,5,,,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17000,誓言之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,0,17001,jx_9_1,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17001,弑神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,1,17002,jx_9_2,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17002,弑神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,2,17003,jx_9_3,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17003,弑神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,3,17004,jx_9_4,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17004,弑神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,4,17005,jx_9_5,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
17005,弑神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_17000,d_zb_17000,5,,,,6.22,2,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21000,埃兰战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,0,21001,jx_10_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21001,亚述狂战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,1,21002,jx_10_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21002,亚述狂战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,2,21003,jx_10_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21003,亚述狂战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,3,21004,jx_10_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21004,亚述狂战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,4,21005,jx_10_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
21005,亚述狂战斧,6,,,ui_equip_icon_06,是,0,,,v_zb_21000,d_zb_21000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22000,暴狂者护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,0,22001,jx_4_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22001,吐火罗护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,1,22002,jx_4_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22002,吐火罗护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,2,22003,jx_4_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22003,吐火罗护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,3,22004,jx_4_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22004,吐火罗护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,4,22005,jx_4_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
22005,吐火罗护肩,0,,,ui_equip_icon_05,是,0,,,v_zb_22000,d_zb_22000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23000,支配护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,0,23001,jx_5_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23001,新月护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,1,23002,jx_5_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23002,新月护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,2,23003,jx_5_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23003,新月护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,3,23004,jx_5_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23004,新月护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,4,23005,jx_5_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
23005,新月护手,1,,,ui_equip_icon_01,是,0,,,v_zb_23000,d_zb_23000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24000,嗜欲者护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,0,24001,jx_6_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24001,帕提亚护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,1,24002,jx_6_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24002,帕提亚护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,2,24003,jx_6_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24003,帕提亚护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,3,24004,jx_6_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24004,帕提亚护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,4,24005,jx_6_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
24005,帕提亚护腰,2,,,ui_equip_icon_08,是,0,,,v_zb_24000,d_zb_24000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25000,巡游者护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,0,25001,jx_7_1,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25001,俾路支护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,1,25002,jx_7_2,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25002,俾路支护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,2,25003,jx_7_3,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25003,俾路支护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,3,25004,jx_7_4,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25004,俾路支护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,4,25005,jx_7_5,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
25005,俾路支护靴,3,,,ui_equip_icon_09,是,0,,,v_zb_25000,d_zb_25000,5,,,,3.11,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26000,列王护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,0,26001,jx_8_1,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26001,先知护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,1,26002,jx_8_2,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26002,先知护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,2,26003,jx_8_3,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26003,先知护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,3,26004,jx_8_4,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26004,先知护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,4,26005,jx_8_5,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
26005,先知护身符,4,,,ui_equip_icon_10,是,0,,,v_zb_26000,d_zb_26000,5,,,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
27000,帝权之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_27000,d_zb_27000,0,27001,jx_9_1,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
27001,善神之戒,5,,,ui_equip_icon_04,是,0,,,v_zb_27000,d_zb_27000,1,27002,jx_9_2,,6.22,1,0,觉醒可大幅提升装备属性的<color=#37c21b>成长值</color>，提高装备升级属性<color=#37c21b>增长幅度</color>。
