装备类型+装备当前等级,消耗内容
id,cost
1_1,"40200|2,30000|100"
1_2,"40200|2,30000|150"
1_3,"40200|2,30000|200"
1_4,"40200|2,30000|250"
1_5,"40200|3,30000|300"
1_6,"40200|3,30000|350"
1_7,"40200|3,30000|400"
1_8,"40200|3,30000|450"
1_9,"40200|3,30000|500"
1_10,"40200|4,30000|600"
1_11,"40200|4,30000|700"
1_12,"40200|4,30000|800"
1_13,"40200|4,30000|900"
1_14,"40200|4,30000|1000"
1_15,"40200|4,30000|1100"
1_16,"40200|4,30000|1200"
1_17,"40200|4,30000|1300"
1_18,"40200|4,30000|1400"
1_19,"40200|4,30000|1500"
1_20,"40200|5,30000|1700"
1_21,"40200|6,30000|1900"
1_22,"40200|7,30000|2100"
1_23,"40200|8,30000|2300"
1_24,"40200|10,30000|2500"
1_25,"40200|12,30000|2700"
1_26,"40200|14,30000|2900"
1_27,"40200|16,30000|3100"
1_28,"40200|18,30000|3300"
1_29,"40200|20,30000|3500"
1_30,"40200|25,30000|3900"
1_31,"40200|30,30000|4300"
1_32,"40200|35,30000|4700"
1_33,"40200|40,30000|5100"
1_34,"40200|45,30000|5500"
1_35,"40200|50,30000|5900"
1_36,"40200|60,30000|6300"
1_37,"40200|70,30000|6700"
1_38,"40200|80,30000|7100"
1_39,"40200|90,30000|7500"
1_40,"40200|100,30000|8500"
1_41,"40200|110,30000|9500"
1_42,"40200|120,30000|10500"
1_43,"40200|130,30000|11500"
1_44,"40200|140,30000|12500"
1_45,"40200|150,30000|13500"
1_46,"40200|160,30000|14500"
1_47,"40200|170,30000|15500"
1_48,"40200|180,30000|16500"
1_49,"40200|190,30000|17500"
1_50,"40200|200,30000|21500"
1_51,"40200|225,30000|25500"
1_52,"40200|250,30000|29500"
1_53,"40200|275,30000|33500"
1_54,"40200|300,30000|37500"
1_55,"40200|325,30000|45500"
1_56,"40200|350,30000|53500"
1_57,"40200|375,30000|61500"
1_58,"40200|400,30000|69500"
1_59,"40200|425,30000|77500"
1_60,"40200|500,30000|89500"
1_61,"40200|550,30000|101500"
1_62,"40200|600,30000|113500"
1_63,"40200|650,30000|125500"
1_64,"40200|700,30000|137500"
1_65,"40200|750,30000|153500"
1_66,"40200|800,30000|169500"
1_67,"40200|850,30000|185500"
1_68,"40200|900,30000|201500"
1_69,"40200|950,30000|217500"
1_70,"40200|1000,30000|237500"
1_71,"40200|1050,30000|257500"
1_72,"40200|1100,30000|277500"
1_73,"40200|1150,30000|297500"
1_74,"40200|1200,30000|317500"
1_75,"40200|1250,30000|337500"
1_76,"40200|1300,30000|357500"
1_77,"40200|1350,30000|377500"
1_78,"40200|1400,30000|397500"
1_79,"40200|1500,30000|417500"
1_80,"40200|1600,30000|442500"
1_81,"40200|1700,30000|467500"
1_82,"40200|1800,30000|492500"
1_83,"40200|1900,30000|517500"
1_84,"40200|2000,30000|542500"
1_85,"40200|2100,30000|572500"
1_86,"40200|2200,30000|602500"
1_87,"40200|2300,30000|632500"
1_88,"40200|2400,30000|662500"
1_89,"40200|2500,30000|692500"
1_90,"40200|2600,30000|727500"
1_91,"40200|2700,30000|762500"
1_92,"40200|2800,30000|797500"
1_93,"40200|2900,30000|832500"
1_94,"40200|3000,30000|867500"
1_95,"40200|3100,30000|907500"
1_96,"40200|3200,30000|947500"
1_97,"40200|3300,30000|987500"
1_98,"40200|3400,30000|1027500"
1_99,"40200|3500,30000|1067500"
1_100,"40200|3600,30000|1107500"
2_1,"40200|2,30000|100"
2_2,"40200|2,30000|150"
2_3,"40200|2,30000|200"
2_4,"40200|2,30000|250"
2_5,"40200|3,30000|300"
2_6,"40200|3,30000|350"
2_7,"40200|3,30000|400"
2_8,"40200|3,30000|450"
2_9,"40200|3,30000|500"
2_10,"40200|4,30000|600"
2_11,"40200|4,30000|700"
2_12,"40200|4,30000|800"
2_13,"40200|4,30000|900"
2_14,"40200|4,30000|1000"
2_15,"40200|4,30000|1100"
2_16,"40200|4,30000|1200"
2_17,"40200|4,30000|1300"
2_18,"40200|4,30000|1400"
2_19,"40200|4,30000|1500"
2_20,"40200|5,30000|1700"
2_21,"40200|6,30000|1900"
2_22,"40200|7,30000|2100"
2_23,"40200|8,30000|2300"
2_24,"40200|10,30000|2500"
2_25,"40200|12,30000|2700"
2_26,"40200|14,30000|2900"
2_27,"40200|16,30000|3100"
2_28,"40200|18,30000|3300"
2_29,"40200|20,30000|3500"
2_30,"40200|25,30000|3900"
2_31,"40200|30,30000|4300"
2_32,"40200|35,30000|4700"
2_33,"40200|40,30000|5100"
2_34,"40200|45,30000|5500"
2_35,"40200|50,30000|5900"
2_36,"40200|60,30000|6300"
2_37,"40200|70,30000|6700"
2_38,"40200|80,30000|7100"
2_39,"40200|90,30000|7500"
2_40,"40200|100,30000|8500"
2_41,"40200|110,30000|9500"
2_42,"40200|120,30000|10500"
2_43,"40200|130,30000|11500"
2_44,"40200|140,30000|12500"
2_45,"40200|150,30000|13500"
2_46,"40200|160,30000|14500"
2_47,"40200|170,30000|15500"
2_48,"40200|180,30000|16500"
2_49,"40200|190,30000|17500"
2_50,"40200|200,30000|21500"
2_51,"40200|225,30000|25500"
2_52,"40200|250,30000|29500"
2_53,"40200|275,30000|33500"
2_54,"40200|300,30000|37500"
2_55,"40200|325,30000|45500"
2_56,"40200|350,30000|53500"
2_57,"40200|375,30000|61500"
2_58,"40200|400,30000|69500"
2_59,"40200|425,30000|77500"
2_60,"40200|500,30000|89500"
2_61,"40200|550,30000|101500"
2_62,"40200|600,30000|113500"
2_63,"40200|650,30000|125500"
2_64,"40200|700,30000|137500"
2_65,"40200|750,30000|153500"
2_66,"40200|800,30000|169500"
2_67,"40200|850,30000|185500"
2_68,"40200|900,30000|201500"
2_69,"40200|950,30000|217500"
2_70,"40200|1000,30000|237500"
2_71,"40200|1050,30000|257500"
2_72,"40200|1100,30000|277500"
2_73,"40200|1150,30000|297500"
2_74,"40200|1200,30000|317500"
2_75,"40200|1250,30000|337500"
2_76,"40200|1300,30000|357500"
2_77,"40200|1350,30000|377500"
2_78,"40200|1400,30000|397500"
2_79,"40200|1500,30000|417500"
2_80,"40200|1600,30000|442500"
2_81,"40200|1700,30000|467500"
2_82,"40200|1800,30000|492500"
2_83,"40200|1900,30000|517500"
2_84,"40200|2000,30000|542500"
2_85,"40200|2100,30000|572500"
2_86,"40200|2200,30000|602500"
2_87,"40200|2300,30000|632500"
2_88,"40200|2400,30000|662500"
2_89,"40200|2500,30000|692500"
2_90,"40200|2600,30000|727500"
2_91,"40200|2700,30000|762500"
2_92,"40200|2800,30000|797500"
2_93,"40200|2900,30000|832500"
2_94,"40200|3000,30000|867500"
2_95,"40200|3100,30000|907500"
2_96,"40200|3200,30000|947500"
2_97,"40200|3300,30000|987500"
2_98,"40200|3400,30000|1027500"
2_99,"40200|3500,30000|1067500"
2_100,"40200|3600,30000|1107500"
3_1,"40200|2,30000|100"
3_2,"40200|2,30000|150"
3_3,"40200|2,30000|200"
3_4,"40200|2,30000|250"
3_5,"40200|3,30000|300"
3_6,"40200|3,30000|350"
3_7,"40200|3,30000|400"
3_8,"40200|3,30000|450"
3_9,"40200|3,30000|500"
3_10,"40200|4,30000|600"
3_11,"40200|4,30000|700"
3_12,"40200|4,30000|800"
3_13,"40200|4,30000|900"
3_14,"40200|4,30000|1000"
3_15,"40200|4,30000|1100"
3_16,"40200|4,30000|1200"
3_17,"40200|4,30000|1300"
3_18,"40200|4,30000|1400"
3_19,"40200|4,30000|1500"
3_20,"40200|5,30000|1700"
3_21,"40200|6,30000|1900"
3_22,"40200|7,30000|2100"
3_23,"40200|8,30000|2300"
3_24,"40200|10,30000|2500"
3_25,"40200|12,30000|2700"
3_26,"40200|14,30000|2900"
3_27,"40200|16,30000|3100"
3_28,"40200|18,30000|3300"
3_29,"40200|20,30000|3500"
3_30,"40200|25,30000|3900"
3_31,"40200|30,30000|4300"
3_32,"40200|35,30000|4700"
3_33,"40200|40,30000|5100"
3_34,"40200|45,30000|5500"
3_35,"40200|50,30000|5900"
3_36,"40200|60,30000|6300"
3_37,"40200|70,30000|6700"
3_38,"40200|80,30000|7100"
3_39,"40200|90,30000|7500"
3_40,"40200|100,30000|8500"
3_41,"40200|110,30000|9500"
3_42,"40200|120,30000|10500"
3_43,"40200|130,30000|11500"
3_44,"40200|140,30000|12500"
3_45,"40200|150,30000|13500"
3_46,"40200|160,30000|14500"
3_47,"40200|170,30000|15500"
3_48,"40200|180,30000|16500"
3_49,"40200|190,30000|17500"
3_50,"40200|200,30000|21500"
3_51,"40200|225,30000|25500"
3_52,"40200|250,30000|29500"
3_53,"40200|275,30000|33500"
3_54,"40200|300,30000|37500"
3_55,"40200|325,30000|45500"
3_56,"40200|350,30000|53500"
3_57,"40200|375,30000|61500"
3_58,"40200|400,30000|69500"
3_59,"40200|425,30000|77500"
3_60,"40200|500,30000|89500"
3_61,"40200|550,30000|101500"
3_62,"40200|600,30000|113500"
3_63,"40200|650,30000|125500"
3_64,"40200|700,30000|137500"
3_65,"40200|750,30000|153500"
3_66,"40200|800,30000|169500"
3_67,"40200|850,30000|185500"
3_68,"40200|900,30000|201500"
3_69,"40200|950,30000|217500"
3_70,"40200|1000,30000|237500"
3_71,"40200|1050,30000|257500"
3_72,"40200|1100,30000|277500"
3_73,"40200|1150,30000|297500"
3_74,"40200|1200,30000|317500"
3_75,"40200|1250,30000|337500"
3_76,"40200|1300,30000|357500"
3_77,"40200|1350,30000|377500"
3_78,"40200|1400,30000|397500"
3_79,"40200|1500,30000|417500"
3_80,"40200|1600,30000|442500"
3_81,"40200|1700,30000|467500"
3_82,"40200|1800,30000|492500"
3_83,"40200|1900,30000|517500"
3_84,"40200|2000,30000|542500"
3_85,"40200|2100,30000|572500"
3_86,"40200|2200,30000|602500"
3_87,"40200|2300,30000|632500"
3_88,"40200|2400,30000|662500"
3_89,"40200|2500,30000|692500"
3_90,"40200|2600,30000|727500"
3_91,"40200|2700,30000|762500"
3_92,"40200|2800,30000|797500"
3_93,"40200|2900,30000|832500"
3_94,"40200|3000,30000|867500"
3_95,"40200|3100,30000|907500"
3_96,"40200|3200,30000|947500"
3_97,"40200|3300,30000|987500"
3_98,"40200|3400,30000|1027500"
3_99,"40200|3500,30000|1067500"
3_100,"40200|3600,30000|1107500"
6_1,"40200|2,30000|100"
6_2,"40200|2,30000|150"
6_3,"40200|2,30000|200"
6_4,"40200|2,30000|250"
6_5,"40200|3,30000|300"
6_6,"40200|3,30000|350"
6_7,"40200|3,30000|400"
6_8,"40200|3,30000|450"
6_9,"40200|3,30000|500"
6_10,"40200|4,30000|600"
6_11,"40200|4,30000|700"
6_12,"40200|4,30000|800"
6_13,"40200|4,30000|900"
6_14,"40200|4,30000|1000"
6_15,"40200|4,30000|1100"
6_16,"40200|4,30000|1200"
6_17,"40200|4,30000|1300"
6_18,"40200|4,30000|1400"
6_19,"40200|4,30000|1500"
6_20,"40200|5,30000|1700"
6_21,"40200|6,30000|1900"
6_22,"40200|7,30000|2100"
6_23,"40200|8,30000|2300"
6_24,"40200|10,30000|2500"
6_25,"40200|12,30000|2700"
6_26,"40200|14,30000|2900"
6_27,"40200|16,30000|3100"
6_28,"40200|18,30000|3300"
6_29,"40200|20,30000|3500"
6_30,"40200|25,30000|3900"
6_31,"40200|30,30000|4300"
6_32,"40200|35,30000|4700"
6_33,"40200|40,30000|5100"
6_34,"40200|45,30000|5500"
6_35,"40200|50,30000|5900"
6_36,"40200|60,30000|6300"
6_37,"40200|70,30000|6700"
6_38,"40200|80,30000|7100"
6_39,"40200|90,30000|7500"
6_40,"40200|100,30000|8500"
6_41,"40200|110,30000|9500"
6_42,"40200|120,30000|10500"
6_43,"40200|130,30000|11500"
6_44,"40200|140,30000|12500"
6_45,"40200|150,30000|13500"
6_46,"40200|160,30000|14500"
6_47,"40200|170,30000|15500"
6_48,"40200|180,30000|16500"
6_49,"40200|190,30000|17500"
6_50,"40200|200,30000|21500"
6_51,"40200|225,30000|25500"
6_52,"40200|250,30000|29500"
6_53,"40200|275,30000|33500"
6_54,"40200|300,30000|37500"
6_55,"40200|325,30000|45500"
6_56,"40200|350,30000|53500"
6_57,"40200|375,30000|61500"
6_58,"40200|400,30000|69500"
6_59,"40200|425,30000|77500"
6_60,"40200|500,30000|89500"
6_61,"40200|550,30000|101500"
6_62,"40200|600,30000|113500"
6_63,"40200|650,30000|125500"
6_64,"40200|700,30000|137500"
6_65,"40200|750,30000|153500"
6_66,"40200|800,30000|169500"
6_67,"40200|850,30000|185500"
6_68,"40200|900,30000|201500"
6_69,"40200|950,30000|217500"
6_70,"40200|1000,30000|237500"
6_71,"40200|1050,30000|257500"
6_72,"40200|1100,30000|277500"
6_73,"40200|1150,30000|297500"
6_74,"40200|1200,30000|317500"
6_75,"40200|1250,30000|337500"
6_76,"40200|1300,30000|357500"
6_77,"40200|1350,30000|377500"
6_78,"40200|1400,30000|397500"
6_79,"40200|1500,30000|417500"
6_80,"40200|1600,30000|442500"
6_81,"40200|1700,30000|467500"
6_82,"40200|1800,30000|492500"
6_83,"40200|1900,30000|517500"
6_84,"40200|2000,30000|542500"
6_85,"40200|2100,30000|572500"
6_86,"40200|2200,30000|602500"
6_87,"40200|2300,30000|632500"
6_88,"40200|2400,30000|662500"
6_89,"40200|2500,30000|692500"
6_90,"40200|2600,30000|727500"
6_91,"40200|2700,30000|762500"
6_92,"40200|2800,30000|797500"
6_93,"40200|2900,30000|832500"
6_94,"40200|3000,30000|867500"
6_95,"40200|3100,30000|907500"
6_96,"40200|3200,30000|947500"
6_97,"40200|3300,30000|987500"
6_98,"40200|3400,30000|1027500"
6_99,"40200|3500,30000|1067500"
6_100,"40200|3600,30000|1107500"
7_1,"40200|2,30000|100"
7_2,"40200|2,30000|150"
7_3,"40200|2,30000|200"
7_4,"40200|2,30000|250"
7_5,"40200|3,30000|300"
7_6,"40200|3,30000|350"
7_7,"40200|3,30000|400"
7_8,"40200|3,30000|450"
7_9,"40200|3,30000|500"
7_10,"40200|4,30000|600"
7_11,"40200|4,30000|700"
7_12,"40200|4,30000|800"
7_13,"40200|4,30000|900"
7_14,"40200|4,30000|1000"
7_15,"40200|4,30000|1100"
7_16,"40200|4,30000|1200"
7_17,"40200|4,30000|1300"
7_18,"40200|4,30000|1400"
7_19,"40200|4,30000|1500"
7_20,"40200|5,30000|1700"
7_21,"40200|6,30000|1900"
7_22,"40200|7,30000|2100"
7_23,"40200|8,30000|2300"
7_24,"40200|10,30000|2500"
7_25,"40200|12,30000|2700"
7_26,"40200|14,30000|2900"
7_27,"40200|16,30000|3100"
7_28,"40200|18,30000|3300"
7_29,"40200|20,30000|3500"
7_30,"40200|25,30000|3900"
7_31,"40200|30,30000|4300"
7_32,"40200|35,30000|4700"
7_33,"40200|40,30000|5100"
7_34,"40200|45,30000|5500"
7_35,"40200|50,30000|5900"
7_36,"40200|60,30000|6300"
7_37,"40200|70,30000|6700"
7_38,"40200|80,30000|7100"
7_39,"40200|90,30000|7500"
7_40,"40200|100,30000|8500"
7_41,"40200|110,30000|9500"
7_42,"40200|120,30000|10500"
7_43,"40200|130,30000|11500"
7_44,"40200|140,30000|12500"
7_45,"40200|150,30000|13500"
7_46,"40200|160,30000|14500"
7_47,"40200|170,30000|15500"
7_48,"40200|180,30000|16500"
7_49,"40200|190,30000|17500"
7_50,"40200|200,30000|21500"
7_51,"40200|225,30000|25500"
7_52,"40200|250,30000|29500"
7_53,"40200|275,30000|33500"
7_54,"40200|300,30000|37500"
7_55,"40200|325,30000|45500"
7_56,"40200|350,30000|53500"
7_57,"40200|375,30000|61500"
7_58,"40200|400,30000|69500"
7_59,"40200|425,30000|77500"
7_60,"40200|500,30000|89500"
7_61,"40200|550,30000|101500"
7_62,"40200|600,30000|113500"
7_63,"40200|650,30000|125500"
7_64,"40200|700,30000|137500"
7_65,"40200|750,30000|153500"
7_66,"40200|800,30000|169500"
7_67,"40200|850,30000|185500"
7_68,"40200|900,30000|201500"
7_69,"40200|950,30000|217500"
7_70,"40200|1000,30000|237500"
7_71,"40200|1050,30000|257500"
7_72,"40200|1100,30000|277500"
7_73,"40200|1150,30000|297500"
7_74,"40200|1200,30000|317500"
7_75,"40200|1250,30000|337500"
7_76,"40200|1300,30000|357500"
7_77,"40200|1350,30000|377500"
7_78,"40200|1400,30000|397500"
7_79,"40200|1500,30000|417500"
7_80,"40200|1600,30000|442500"
7_81,"40200|1700,30000|467500"
7_82,"40200|1800,30000|492500"
7_83,"40200|1900,30000|517500"
7_84,"40200|2000,30000|542500"
7_85,"40200|2100,30000|572500"
7_86,"40200|2200,30000|602500"
7_87,"40200|2300,30000|632500"
7_88,"40200|2400,30000|662500"
7_89,"40200|2500,30000|692500"
7_90,"40200|2600,30000|727500"
7_91,"40200|2700,30000|762500"
7_92,"40200|2800,30000|797500"
7_93,"40200|2900,30000|832500"
7_94,"40200|3000,30000|867500"
7_95,"40200|3100,30000|907500"
7_96,"40200|3200,30000|947500"
7_97,"40200|3300,30000|987500"
7_98,"40200|3400,30000|1027500"
7_99,"40200|3500,30000|1067500"
7_100,"40200|3600,30000|1107500"
8_1,"40200|2,30000|100"
8_2,"40200|2,30000|150"
8_3,"40200|2,30000|200"
8_4,"40200|2,30000|250"
8_5,"40200|3,30000|300"
8_6,"40200|3,30000|350"
8_7,"40200|3,30000|400"
8_8,"40200|3,30000|450"
8_9,"40200|3,30000|500"
8_10,"40200|4,30000|600"
8_11,"40200|4,30000|700"
8_12,"40200|4,30000|800"
8_13,"40200|4,30000|900"
8_14,"40200|4,30000|1000"
8_15,"40200|4,30000|1100"
8_16,"40200|4,30000|1200"
8_17,"40200|4,30000|1300"
8_18,"40200|4,30000|1400"
8_19,"40200|4,30000|1500"
8_20,"40200|5,30000|1700"
8_21,"40200|6,30000|1900"
8_22,"40200|7,30000|2100"
8_23,"40200|8,30000|2300"
8_24,"40200|10,30000|2500"
8_25,"40200|12,30000|2700"
8_26,"40200|14,30000|2900"
8_27,"40200|16,30000|3100"
8_28,"40200|18,30000|3300"
8_29,"40200|20,30000|3500"
8_30,"40200|25,30000|3900"
8_31,"40200|30,30000|4300"
8_32,"40200|35,30000|4700"
8_33,"40200|40,30000|5100"
8_34,"40200|45,30000|5500"
8_35,"40200|50,30000|5900"
8_36,"40200|60,30000|6300"
8_37,"40200|70,30000|6700"
8_38,"40200|80,30000|7100"
8_39,"40200|90,30000|7500"
8_40,"40200|100,30000|8500"
8_41,"40200|110,30000|9500"
8_42,"40200|120,30000|10500"
8_43,"40200|130,30000|11500"
8_44,"40200|140,30000|12500"
8_45,"40200|150,30000|13500"
8_46,"40200|160,30000|14500"
8_47,"40200|170,30000|15500"
8_48,"40200|180,30000|16500"
8_49,"40200|190,30000|17500"
8_50,"40200|200,30000|21500"
8_51,"40200|225,30000|25500"
8_52,"40200|250,30000|29500"
8_53,"40200|275,30000|33500"
8_54,"40200|300,30000|37500"
8_55,"40200|325,30000|45500"
8_56,"40200|350,30000|53500"
8_57,"40200|375,30000|61500"
8_58,"40200|400,30000|69500"
8_59,"40200|425,30000|77500"
8_60,"40200|500,30000|89500"
8_61,"40200|550,30000|101500"
8_62,"40200|600,30000|113500"
8_63,"40200|650,30000|125500"
8_64,"40200|700,30000|137500"
8_65,"40200|750,30000|153500"
8_66,"40200|800,30000|169500"
8_67,"40200|850,30000|185500"
8_68,"40200|900,30000|201500"
8_69,"40200|950,30000|217500"
8_70,"40200|1000,30000|237500"
8_71,"40200|1050,30000|257500"
8_72,"40200|1100,30000|277500"
8_73,"40200|1150,30000|297500"
8_74,"40200|1200,30000|317500"
8_75,"40200|1250,30000|337500"
8_76,"40200|1300,30000|357500"
8_77,"40200|1350,30000|377500"
8_78,"40200|1400,30000|397500"
8_79,"40200|1500,30000|417500"
8_80,"40200|1600,30000|442500"
8_81,"40200|1700,30000|467500"
8_82,"40200|1800,30000|492500"
8_83,"40200|1900,30000|517500"
8_84,"40200|2000,30000|542500"
8_85,"40200|2100,30000|572500"
8_86,"40200|2200,30000|602500"
8_87,"40200|2300,30000|632500"
8_88,"40200|2400,30000|662500"
8_89,"40200|2500,30000|692500"
8_90,"40200|2600,30000|727500"
8_91,"40200|2700,30000|762500"
8_92,"40200|2800,30000|797500"
8_93,"40200|2900,30000|832500"
8_94,"40200|3000,30000|867500"
8_95,"40200|3100,30000|907500"
8_96,"40200|3200,30000|947500"
8_97,"40200|3300,30000|987500"
8_98,"40200|3400,30000|1027500"
8_99,"40200|3500,30000|1067500"
8_100,"40200|3600,30000|1107500"
9_1,"40200|2,30000|100"
9_2,"40200|2,30000|150"
9_3,"40200|2,30000|200"
9_4,"40200|2,30000|250"
9_5,"40200|3,30000|300"
9_6,"40200|3,30000|350"
9_7,"40200|3,30000|400"
9_8,"40200|3,30000|450"
9_9,"40200|3,30000|500"
9_10,"40200|4,30000|600"
9_11,"40200|4,30000|700"
9_12,"40200|4,30000|800"
9_13,"40200|4,30000|900"
9_14,"40200|4,30000|1000"
9_15,"40200|4,30000|1100"
9_16,"40200|4,30000|1200"
9_17,"40200|4,30000|1300"
9_18,"40200|4,30000|1400"
9_19,"40200|4,30000|1500"
9_20,"40200|5,30000|1700"
9_21,"40200|6,30000|1900"
9_22,"40200|7,30000|2100"
9_23,"40200|8,30000|2300"
9_24,"40200|10,30000|2500"
9_25,"40200|12,30000|2700"
9_26,"40200|14,30000|2900"
9_27,"40200|16,30000|3100"
9_28,"40200|18,30000|3300"
9_29,"40200|20,30000|3500"
9_30,"40200|25,30000|3900"
9_31,"40200|30,30000|4300"
9_32,"40200|35,30000|4700"
9_33,"40200|40,30000|5100"
9_34,"40200|45,30000|5500"
9_35,"40200|50,30000|5900"
9_36,"40200|60,30000|6300"
9_37,"40200|70,30000|6700"
9_38,"40200|80,30000|7100"
9_39,"40200|90,30000|7500"
9_40,"40200|100,30000|8500"
9_41,"40200|110,30000|9500"
9_42,"40200|120,30000|10500"
9_43,"40200|130,30000|11500"
9_44,"40200|140,30000|12500"
9_45,"40200|150,30000|13500"
9_46,"40200|160,30000|14500"
9_47,"40200|170,30000|15500"
9_48,"40200|180,30000|16500"
9_49,"40200|190,30000|17500"
9_50,"40200|200,30000|21500"
9_51,"40200|225,30000|25500"
9_52,"40200|250,30000|29500"
9_53,"40200|275,30000|33500"
9_54,"40200|300,30000|37500"
9_55,"40200|325,30000|45500"
9_56,"40200|350,30000|53500"
9_57,"40200|375,30000|61500"
9_58,"40200|400,30000|69500"
9_59,"40200|425,30000|77500"
9_60,"40200|500,30000|89500"
9_61,"40200|550,30000|101500"
9_62,"40200|600,30000|113500"
9_63,"40200|650,30000|125500"
9_64,"40200|700,30000|137500"
9_65,"40200|750,30000|153500"
9_66,"40200|800,30000|169500"
9_67,"40200|850,30000|185500"
9_68,"40200|900,30000|201500"
9_69,"40200|950,30000|217500"
9_70,"40200|1000,30000|237500"
9_71,"40200|1050,30000|257500"
9_72,"40200|1100,30000|277500"
9_73,"40200|1150,30000|297500"
9_74,"40200|1200,30000|317500"
9_75,"40200|1250,30000|337500"
9_76,"40200|1300,30000|357500"
9_77,"40200|1350,30000|377500"
9_78,"40200|1400,30000|397500"
9_79,"40200|1500,30000|417500"
9_80,"40200|1600,30000|442500"
9_81,"40200|1700,30000|467500"
9_82,"40200|1800,30000|492500"
9_83,"40200|1900,30000|517500"
9_84,"40200|2000,30000|542500"
9_85,"40200|2100,30000|572500"
9_86,"40200|2200,30000|602500"
9_87,"40200|2300,30000|632500"
9_88,"40200|2400,30000|662500"
9_89,"40200|2500,30000|692500"
9_90,"40200|2600,30000|727500"
9_91,"40200|2700,30000|762500"
9_92,"40200|2800,30000|797500"
9_93,"40200|2900,30000|832500"
9_94,"40200|3000,30000|867500"
9_95,"40200|3100,30000|907500"
9_96,"40200|3200,30000|947500"
9_97,"40200|3300,30000|987500"
9_98,"40200|3400,30000|1027500"
9_99,"40200|3500,30000|1067500"
9_100,"40200|3600,30000|1107500"
4_1,"40000|1,30000|100"
4_2,"40000|1,30000|150"
4_3,"40000|1,30000|200"
4_4,"40000|1,30000|250"
4_5,"40000|1,30000|300"
4_6,"40000|2,30000|350"
4_7,"40000|2,30000|400"
4_8,"40000|2,30000|450"
4_9,"40000|2,30000|500"
4_10,"40000|2,30000|600"
4_11,"40000|3,30000|700"
