唯一id,月份,签到次数,奖励道具ID,道具数量,"VIP双倍
参数：vip等级"
128,5,4,210013,3
129,5,5,40101,1,3
130,5,6,30000,40000,3
131,5,7,30002,80
132,5,8,40001,1,4
133,5,9,210013,3
134,5,10,40101,1,4
135,5,11,30000,50000,5
136,5,12,30002,120
137,5,13,40001,1,6
138,5,14,210013,3
139,5,15,40101,1,7
140,5,16,30000,60000,8
141,5,17,30002,160
142,5,18,40001,1,9
143,5,19,210013,3
144,5,20,40101,1,10
145,5,21,30000,70000,10
146,5,22,30002,200
147,5,23,40001,1,11
148,5,24,210013,3
149,5,25,40101,1,12
150,5,26,30000,80000,13
151,5,27,30002,250
152,5,28,40001,1,14
153,5,29,210013,3
154,5,30,40101,1,15
155,5,31,30000,100000,15
156,6,1,30000,30000,1
157,6,2,30002,40
158,6,3,40001,1,2
159,6,4,210013,3
160,6,5,40101,1,3
161,6,6,30000,40000,3
162,6,7,30002,80
163,6,8,40001,1,4
164,6,9,210013,3
165,6,10,40101,1,4
166,6,11,30000,50000,5
167,6,12,30002,120
168,6,13,40001,1,6
169,6,14,210013,3
170,6,15,40101,1,7
171,6,16,30000,60000,8
172,6,17,30002,160
173,6,18,40001,1,9
174,6,19,210013,3
175,6,20,40101,1,10
176,6,21,30000,70000,10
177,6,22,30002,200
178,6,23,40001,1,11
179,6,24,210013,3
180,6,25,40101,1,12
181,6,26,30000,80000,13
182,6,27,30002,250
183,6,28,40001,1,14
184,6,29,210013,3
185,6,30,40101,1,15
186,6,31,30000,100000,15
187,7,1,30000,30000,1
188,7,2,30002,40
189,7,3,40001,1,2
190,7,4,210013,3
191,7,5,40101,1,3
192,7,6,30000,40000,3
193,7,7,30002,80
194,7,8,40001,1,4
195,7,9,210013,3
196,7,10,40101,1,4
197,7,11,30000,50000,5
198,7,12,30002,120
199,7,13,40001,1,6
200,7,14,210013,3
201,7,15,40101,1,7
202,7,16,30000,60000,8
203,7,17,30002,160
204,7,18,40001,1,9
205,7,19,210013,3
206,7,20,40101,1,10
207,7,21,30000,70000,10
208,7,22,30002,200
209,7,23,40001,1,11
210,7,24,210013,3
211,7,25,40101,1,12
212,7,26,30000,80000,13
213,7,27,30002,250
214,7,28,40001,1,14
215,7,29,210013,3
216,7,30,40101,1,15
217,7,31,30000,100000,15
218,8,1,30000,30000,1
219,8,2,30002,40
220,8,3,40001,1,2
221,8,4,210013,3
222,8,5,40101,1,3
223,8,6,30000,40000,3
224,8,7,30002,80
225,8,8,40001,1,4
226,8,9,210013,3
227,8,10,40101,1,4
228,8,11,30000,50000,5
229,8,12,30002,120
230,8,13,40001,1,6
231,8,14,210013,3
232,8,15,40101,1,7
233,8,16,30000,60000,8
234,8,17,30002,160
235,8,18,40001,1,9
236,8,19,210013,3
237,8,20,40101,1,10
238,8,21,30000,70000,10
239,8,22,30002,200
240,8,23,40001,1,11
241,8,24,210013,3
242,8,25,40101,1,12
243,8,26,30000,80000,13
244,8,27,30002,250
245,8,28,40001,1,14
246,8,29,210013,3
247,8,30,40101,1,15
248,8,31,30000,100000,15
249,9,1,30000,30000,1
250,9,2,30002,40
251,9,3,40001,1,2
252,9,4,210013,3
253,9,5,40101,1,3
254,9,6,30000,40000,3
255,9,7,30002,80
256,9,8,40001,1,4
257,9,9,210013,3
258,9,10,40101,1,4
259,9,11,30000,50000,5
260,9,12,30002,120
261,9,13,40001,1,6
262,9,14,210013,3
263,9,15,40101,1,7
264,9,16,30000,60000,8
265,9,17,30002,160
266,9,18,40001,1,9
267,9,19,210013,3
268,9,20,40101,1,10
269,9,21,30000,70000,10
270,9,22,30002,200
271,9,23,40001,1,11
272,9,24,210013,3
273,9,25,40101,1,12
274,9,26,30000,80000,13
275,9,27,30002,250
276,9,28,40001,1,14
277,9,29,210013,3
278,9,30,40101,1,15
279,9,31,30000,100000,15
280,10,1,30000,30000,1
281,10,2,30002,40
282,10,3,40001,1,2
283,10,4,210013,3
284,10,5,40101,1,3
285,10,6,30000,40000,3
286,10,7,30002,80
287,10,8,40001,1,4
288,10,9,210013,3
289,10,10,40101,1,4
290,10,11,30000,50000,5
291,10,12,30002,120
292,10,13,40001,1,6
293,10,14,210013,3
294,10,15,40101,1,7
295,10,16,30000,60000,8
296,10,17,30002,160
297,10,18,40001,1,9
298,10,19,210013,3
299,10,20,40101,1,10
300,10,21,30000,70000,10
301,10,22,30002,200
302,10,23,40001,1,11
303,10,24,210013,3
304,10,25,40101,1,12
305,10,26,30000,80000,13
306,10,27,30002,250
307,10,28,40001,1,14
308,10,29,210013,3
309,10,30,40101,1,15
310,10,31,30000,100000,15
311,11,1,30000,30000,1
312,11,2,30002,40
313,11,3,40001,1,2
314,11,4,210013,3
315,11,5,40101,1,3
316,11,6,30000,40000,3
317,11,7,30002,80
318,11,8,40001,1,4
319,11,9,210013,3
320,11,10,40101,1,4
321,11,11,30000,50000,5
322,11,12,30002,120
323,11,13,40001,1,6
324,11,14,210013,3
325,11,15,40101,1,7
326,11,16,30000,60000,8
327,11,17,30002,160
328,11,18,40001,1,9
329,11,19,210013,3
330,11,20,40101,1,10
331,11,21,30000,70000,10
332,11,22,30002,200
333,11,23,40001,1,11
334,11,24,210013,3
335,11,25,40101,1,12
336,11,26,30000,80000,13
337,11,27,30002,250
338,11,28,40001,1,14
339,11,29,210013,3
340,11,30,40101,1,15
341,11,31,30000,100000,15
342,12,1,30000,30000,1
343,12,2,30002,40
344,12,3,40001,1,2
345,12,4,210013,3
346,12,5,40101,1,3
347,12,6,30000,40000,3
348,12,7,30002,80
349,12,8,40001,1,4
350,12,9,210013,3
351,12,10,40101,1,4
352,12,11,30000,50000,5
353,12,12,30002,120
354,12,13,40001,1,6
355,12,14,210013,3
356,12,15,40101,1,7
357,12,16,30000,60000,8
358,12,17,30002,160
359,12,18,40001,1,9
360,12,19,210013,3
361,12,20,40101,1,10
362,12,21,30000,70000,10
363,12,22,30002,200
364,12,23,40001,1,11
365,12,24,210013,3
366,12,25,40101,1,12
367,12,26,30000,80000,13
368,12,27,30002,250
369,12,28,40001,1,14
370,12,29,210013,3
371,12,30,40101,1,15
372,12,31,30000,100000,15
