等级,神器类型,属性加成id,升到该级所需碎片数目,升级需要金币,战斗力值,战斗力系数,对应技能id,对应技能等级,效果描述
3,14,v_shenqi_14_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,14,v_shenqi_14_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,14,v_shenqi_14_5,200,500000,212,0.06,,,持续时间6生命/秒
6,14,v_shenqi_14_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,14,v_shenqi_14_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,14,v_shenqi_14_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,14,v_shenqi_14_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,14,v_shenqi_14_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,15,v_shenqi_15_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,15,v_shenqi_15_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,15,v_shenqi_15_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,15,v_shenqi_15_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,15,v_shenqi_15_5,200,500000,212,0.06,,,持续时间6生命/秒
6,15,v_shenqi_15_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,15,v_shenqi_15_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,15,v_shenqi_15_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,15,v_shenqi_15_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,15,v_shenqi_15_10,1200,2500000,424,0.12,,,持续时间6生命/秒
