进阶消耗ID(部位+当前等阶）,消耗内容,宠物消耗内容
0_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
0_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
0_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
0_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
0_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
1_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
1_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
1_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
1_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
1_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
1_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
1_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
1_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
1_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
1_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
1_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
1_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
1_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
1_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
1_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
1_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
1_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
1_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
1_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
1_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
1_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
1_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
1_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
1_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
1_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
1_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
1_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
1_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
1_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
1_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
1_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
1_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
1_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
1_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
1_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
1_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
2_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
2_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
2_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
2_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
2_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
2_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
2_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
2_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
2_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
2_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
2_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
2_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
2_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
2_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
2_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
2_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
2_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
2_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
2_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
2_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
2_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
2_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
2_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
2_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
2_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
2_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
2_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
2_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
2_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
2_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
2_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
2_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
2_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
2_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
2_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
2_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
3_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
3_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
3_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
3_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
3_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
3_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
3_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
3_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
3_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
3_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
3_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
3_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
3_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
3_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
3_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
3_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
3_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
3_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
3_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
3_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
3_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
3_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
3_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
3_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
3_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
3_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
3_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
3_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
3_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
3_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
3_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
3_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
3_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
3_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
3_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
3_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
6_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
6_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
6_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
6_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
6_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
6_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
6_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
6_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
6_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
6_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
6_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
6_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
6_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
6_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
6_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
6_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
6_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
6_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
6_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
6_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
6_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
6_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
6_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
6_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
6_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
6_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
6_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
6_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
6_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
6_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
6_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
6_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
6_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
6_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
6_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
6_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
7_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
7_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
7_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
7_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
7_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
7_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
7_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
7_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
7_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
7_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
7_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
7_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
7_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
7_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
7_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
7_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
7_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
7_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
7_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
7_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
7_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
7_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
7_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
7_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
7_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
7_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
7_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
7_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
7_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
7_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
7_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
7_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
7_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
7_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
7_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
7_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
8_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
8_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
8_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
8_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
8_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
8_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
8_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
8_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
8_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
8_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
8_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
8_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
8_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
8_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
8_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
8_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
8_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
8_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
8_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
8_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
8_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
8_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
8_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
8_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
8_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
8_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
8_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
8_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
8_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
8_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
8_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
8_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
8_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
8_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
8_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
8_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
9_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
9_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
9_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
9_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
9_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
9_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
9_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
9_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
9_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
9_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
9_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
9_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
9_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
9_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
9_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
9_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
9_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
9_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
9_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
9_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
9_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
9_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
9_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
9_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
9_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
9_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
9_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
9_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
9_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
9_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
9_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
9_32,"30000|510000,100009|1800,100109|1800,100209|1800,100316|112","30000|510000,10002|195"
9_33,"30000|630000,100009|1900,100109|1900,100209|1900,100316|119","30000|630000,10002|210"
9_34,"30000|630000,100009|2000,100109|2000,100209|2000,100317|126","30000|630000,10002|235"
9_35,"30000|810000,100009|2150,100109|2150,100209|2150,100317|134","30000|810000,10002|250"
9_36,"30000|810000,100010|2250,100110|2250,100210|2250,100318|141","30000|810000,10002|265"
4_1,"30000|100,40001|2","30000|100,40001|2"
4_2,"30000|200,40001|4","30000|200,40001|4"
4_3,"30000|1000,40001|6","30000|1000,40001|6"
4_4,"30000|1800,40001|8","30000|1800,40001|8"
4_5,"30000|2500,40001|10","30000|2500,40001|10"
4_6,"30000|2500,40001|12","30000|2500,40001|12"
4_7,"30000|3000,40001|14","30000|3000,40001|14"
4_8,"30000|3000,40001|16","30000|3000,40001|16"
4_9,"30000|4000,40001|18","30000|4000,40001|18"
4_10,"30000|4000,40001|20","30000|4000,40001|20"
4_11,"30000|7500,40001|22","30000|7500,40001|22"
4_12,"30000|7500,40001|24","30000|7500,40001|24"
4_13,"30000|12000,40001|26","30000|12000,40001|26"
4_14,"30000|12000,40001|28","30000|12000,40001|28"
4_15,"30000|21500,40001|30","30000|21500,40001|30"
4_16,"30000|21500,40001|32","30000|21500,40001|32"
4_17,"30000|34500,40001|34","30000|34500,40001|34"
4_18,"30000|34500,40001|36","30000|34500,40001|36"
4_19,"30000|58000,40001|38","30000|58000,40001|38"
4_20,"30000|58000,40001|40","30000|58000,40001|40"
4_21,"30000|89000,40001|42","30000|89000,40001|42"
4_22,"30000|89000,40001|44","30000|89000,40001|44"
4_23,"30000|140001,40001|46","30000|140001,40001|46"
4_24,"30000|140001,40001|48","30000|140001,40001|48"
4_25,"30000|210000,40001|50","30000|210000,40001|50"
4_26,"30000|210000,40001|52","30000|210000,40001|52"
4_27,"30000|300000,40001|54","30000|300000,40001|54"
4_28,"30000|300000,40001|56","30000|300000,40001|56"
4_29,"30000|390000,40001|58","30000|390000,40001|58"
4_30,"30000|390000,40001|60","30000|390000,40001|60"
4_31,"30000|510000,40001|62","30000|510000,40001|62"
4_32,"30000|510000,40001|64","30000|510000,40001|64"
4_33,"30000|630000,40001|66","30000|630000,40001|66"
4_34,"30000|630000,40001|68","30000|630000,40001|68"
4_35,"30000|810000,40001|70","30000|810000,40001|70"
4_36,"30000|810000,40001|72","30000|810000,40001|72"
5_1,"30000|100,40101|2","30000|100,40101|2"
5_2,"30000|200,40101|4","30000|200,40101|4"
5_3,"30000|1000,40101|6","30000|1000,40101|6"
5_4,"30000|1800,40101|8","30000|1800,40101|8"
5_5,"30000|2500,40101|10","30000|2500,40101|10"
5_6,"30000|2500,40101|12","30000|2500,40101|12"
5_7,"30000|3000,40101|14","30000|3000,40101|14"
5_8,"30000|3000,40101|16","30000|3000,40101|16"
5_9,"30000|4000,40101|18","30000|4000,40101|18"
5_10,"30000|4000,40101|20","30000|4000,40101|20"
5_11,"30000|7500,40101|22","30000|7500,40101|22"
5_12,"30000|7500,40101|24","30000|7500,40101|24"
5_13,"30000|12000,40101|26","30000|12000,40101|26"
5_14,"30000|12000,40101|28","30000|12000,40101|28"
5_15,"30000|21500,40101|30","30000|21500,40101|30"
