唯一id,月份,签到次数,奖励道具ID,道具数量,"VIP双倍
参数：vip等级"
278,10,5,210002,5,3
279,10,6,30000,35000,3
280,10,7,30002,25
281,10,8,30005,1,4
282,10,9,20003,15
283,10,10,210002,5,4
284,10,11,30000,40000,5
285,10,12,30002,30
286,10,13,30005,1,6
287,10,14,20003,15
288,10,15,210002,5,7
289,10,16,30000,45000,8
290,10,17,30002,35
291,10,18,30005,1,9
292,10,19,20003,15
293,10,20,210002,8,10
294,10,21,30000,45000,10
295,10,22,30002,40
296,10,23,30005,1,11
297,10,24,20003,15
298,10,25,210002,8,12
299,10,26,30000,45000,13
300,10,27,30002,50
301,10,28,30005,1,14
302,10,29,20003,15
303,10,30,210002,10,15
304,10,31,30000,45000,15
305,11,1,30000,30000,1
306,11,2,30002,20
307,11,3,30005,1,2
308,11,4,20003,15
309,11,5,210001,5,3
310,11,6,30000,35000,3
311,11,7,30002,25
312,11,8,30005,1,4
313,11,9,20003,15
314,11,10,210001,5,4
315,11,11,30000,40000,5
316,11,12,30002,30
317,11,13,30005,1,6
318,11,14,20003,15
319,11,15,210001,5,7
320,11,16,30000,45000,8
321,11,17,30002,35
322,11,18,30005,1,9
323,11,19,20003,15
324,11,20,210001,8,10
325,11,21,30000,45000,10
326,11,22,30002,40
327,11,23,30005,1,11
328,11,24,20003,15
329,11,25,210001,8,12
330,11,26,30000,45000,13
331,11,27,30002,50
332,11,28,30005,1,14
333,11,29,20003,15
334,11,30,210001,10,15
335,12,1,30000,30000,1
336,12,2,30002,20
337,12,3,30005,1,2
338,12,4,20003,15
339,12,5,210002,5,3
340,12,6,30000,35000,3
341,12,7,30002,25
342,12,8,30005,1,4
343,12,9,20003,15
344,12,10,210002,5,4
345,12,11,30000,40000,5
346,12,12,30002,30
347,12,13,30005,1,6
348,12,14,20003,15
349,12,15,210002,5,7
350,12,16,30000,45000,8
351,12,17,30002,35
352,12,18,30005,1,9
353,12,19,20003,15
354,12,20,210002,8,10
355,12,21,30000,45000,10
356,12,22,30002,40
357,12,23,30005,1,11
358,12,24,20003,15
359,12,25,210002,8,12
360,12,26,30000,45000,13
361,12,27,30002,50
362,12,28,30005,1,14
363,12,29,20003,15
364,12,30,210002,10,15
365,12,31,30000,45000,15
