等级,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
39,3385,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
40,3686,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652
41,4010,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864
42,4353,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087
43,4720,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324
44,5109,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573,3573
45,5522,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835,3835
46,5961,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111,4111
47,6424,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
48,6915,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704
49,7433,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022,5022
50,7980,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356
51,8556,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704
52,9163,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068
53,9801,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448,6448
54,10473,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845,6845
55,11177,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258,7258
56,11915,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687,7687
57,12689,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134,8134
58,13500,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599,8599
59,14348,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081,9081
60,15235,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582,9582
61,16162,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101,10101
62,17130,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640
63,18139,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197,11197
64,19192,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774,11774
65,20288,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371,12371
66,21432,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989,12989
67,22621,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627,13627
68,23858,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286,14286
69,25143,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966,14966
70,26479,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668,15668
71,27865,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391,16391
72,29306,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138,17138
73,30798,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906,17906
74,32348,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698,18698
75,33953,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513,19513
76,35616,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352,20352
77,37337,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214,21214
78,39119,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101,22101
79,40963,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013,23013
80,42869,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949,23949
81,44840,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911
82,46877,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899
83,48980,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912,26912
84,51152,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952,27952
85,53395,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019,29019
86,55709,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113,30113
87,58093,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233,31233
88,60554,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382,32382
89,63091,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559,33559
90,65704,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764,34764
91,68394,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997,35997
92,71167,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260,37260
93,74020,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552,38552
94,76957,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874,39874
95,79978,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226,41226
96,83086,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608,42608
97,86281,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021,44021
98,89566,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465,45465
99,92941,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940,46940
100,96410,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447,48447
