属性分配比例ID,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
r_guanqia_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_81,89,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_82,236,236,236,236,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_83,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_84,154,154,154,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_85,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_86,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_87,379,379,379,379,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_88,59,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_89,312,312,312,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_91,82,82,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_92,219,219,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_93,-93,-93,-93,-93,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_94,141,141,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_95,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_96,201,201,201,201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_97,350,350,350,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_98,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_99,286,286,286,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_101,77,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_102,204,204,204,204,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_103,-90,-90,-90,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_104,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_105,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_106,185,185,185,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_107,324,324,324,324,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_108,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_109,267,267,267,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_111,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_112,191,191,191,191,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_113,-87,-87,-87,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_114,119,119,119,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_115,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_116,171,171,171,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_117,302,302,302,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_118,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_119,248,248,248,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_121,67,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_122,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_123,-84,-84,-84,-84,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_124,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_125,77,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_126,160,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_127,284,284,284,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_128,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_129,233,233,233,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_131,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_132,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_133,-80,-80,-80,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_134,103,103,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_135,71,71,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_136,149,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_137,267,267,267,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_138,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_139,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_141,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_142,160,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_143,-76,-76,-76,-76,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_144,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_145,67,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_146,141,141,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_147,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_148,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_149,207,207,207,207,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_151,57,57,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_152,152,152,152,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_153,-73,-73,-73,-73,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_154,91,91,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_155,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_156,132,132,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_157,238,238,238,238,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_158,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_159,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_161,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_162,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_163,-71,-71,-71,-71,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_164,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_165,58,58,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_166,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_167,227,227,227,227,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_168,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_169,187,187,187,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_171,52,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_172,137,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_173,-68,-68,-68,-68,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_174,82,82,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_175,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_176,119,119,119,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_177,215,215,215,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_178,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_179,177,177,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_jinbi_1,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_1,-5000,-3000,0,-3000,-3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_2,-4500,-2800,0,-2800,-2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_3,-4000,-2600,0,-2600,-2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_4,-3500,-2400,0,-2400,-2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_5,-3000,-2300,0,-2300,-2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_6,-2500,-2200,0,-2200,-2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_7,-2000,-2100,0,-2100,-2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_8,-1500,-2000,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_9,-1000,-1900,0,-1900,-1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_10,-500,-1800,0,-1800,-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_11,0,-1700,0,-1700,-1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_12,500,-1600,0,-1600,-1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_13,1000,-1500,0,-1500,-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_14,1500,-1400,0,-1400,-1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zhiaishouhu_15,2000,-1300,0,-1300,-1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zsz_xxs_01,-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zsz_xxs_02,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_zsz_xxs_03,-3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
