模块号,错误码,模块名,错误名,描述文字
8,17,ACTIVITY,TOWER_NO_TYPE,挑战类型没有
8,18,ACTIVITY,TOWER_NO_CONFIG,未找到对应配置
8,19,ACTIVITY,TOWER_CANT_OPEN_RANDOM,完成{0}层解锁随机模式
8,20,ACTIVITY,TREASURE_NOT_CHALLENGER,要抢夺的角色不在对手列表
9,1,RANK,RANK_TYPE_WRONG,排行类型不对
9,2,RANK,RANK_TYPE_DO_LIKE_FAIL,点赞失败
10,1,WEAPON,LEVEL_ERROR,要升的等级不是下一级，可能重复操作
10,2,WEAPON,ROLE_LEVEL_LIMIT,武器精通等级不能超过玩家自身等级
10,3,WEAPON,NO_ENOUGH_GOLD,所需金币不足
10,4,WEAPON,NO_ENOUGH_ITEM,所需材料不足
10,5,WEAPON,LEVEL_MAX,武器精通已满级
10,6,WEAPON,WEAPON_POS_ERROR,装备位错误
10,7,WEAPON,ELEMENT_POS_ERROR,属性位置错误
11,1,OPACTIVITY,CHECK_IN_FAILED,签到失败
11,2,OPACTIVITY,LEVEL_REWARD_FAILED,角色等级不足或已领取过等级礼包
11,3,OPACTIVITY,VIP_GIFT_FAILED,砖石不足或vip等级不足或领取过vip礼包
11,4,OPACTIVITY,LACK_NEED_ITEM,缺少所需物品
12,1,MAIL,MAIL_STATUS_CHANGE_ERROR,邮件状态设置错误
12,2,MAIL,MAIL_ONEKEY_ITEM_ERROR,一键领取物品错误
13,1,SYSTEM,BAD_TEACH_DATA,引导数据格式错误
13,2,SYSTEM,TEACH_KEYS_MAX,服务端保存的引导数据过多
14,1,FLAME,FLAME_MAX_LEVEL,圣火已达到最高级
14,2,FLAME,FLAME_LEVEL_LIMIT,你的等级不足，不能操作
14,3,FLAME,FLAME_NO_ENOUGE_ITEM,所需材料不足
14,4,FLAME,FLAME_WRONG_ITEM,使用的材料不存在
14,5,FLAME,FLAME_NOT_EXIST,圣火不存在
14,6,FLAME,FLAME_NO_ENOUGH_GOLD,所需金币不足
15,1,TASK,GET_DAILY_TASK_REWARD_FAILED,获取每日任务奖励失败
15,2,TASK,GET_VITALITY_REWARD_FAILED,获取活跃度奖励失败
15,3,TASK,GET_GROWTH_TASK_REWARD_FAILED,获取成长任务奖励失败
16,1,SOCIAL,FRIEND_NOT_FOUND_ERROR,此玩家不存在，请检查名字是否有误
16,2,SOCIAL,IS_IN_FRIEND_REQ,你已在该玩家的申请列表中
16,3,SOCIAL,FRIEND_IS_FULL,你的好友列表已满，不能再添加
16,4,SOCIAL,ADD_SELF_ERROR,不能添加自己为好友
16,5,SOCIAL,SEND_STAMINA_ERROR,今日已赠送过该好友体力
16,6,SOCIAL,SEND_STAMINA_TIMEOUT,超出今日赠送上限
16,7,SOCIAL,GET_STAMINA_ERROR,今日已领取过该好友体力
16,8,SOCIAL,GET_STAMINA_TIMEOUT,超出今日领取上限
16,9,SOCIAL,RESET_STAMINA_TIMES,体力领取和赠送次数发生重置了
16,10,SOCIAL,IS_NOT_FRIEND,该玩家不是你的好友
16,11,SOCIAL,IS_FRIEND,该玩家已是你的好友
16,12,SOCIAL,RECOM_REFR_TIME_CD,推荐好友刷新冷却中
16,13,SOCIAL,OTHER_FRIEND_IS_FULL,对方好友已满
17,1,CORPS,NAME_TOO_LONG,公会名字超出长度
17,2,CORPS,CORPS_NOT_EXIST,公会不存在
17,3,CORPS,IS_NOT_MENMBER,不是本公会会员
17,4,CORPS,CORPS_PERMISSION_DENIED,公会职能权限不足
17,5,CORPS,DECLARE_TOO_LONG,公会宣言超出长度
17,6,CORPS,MEMBERS_FULL,会员已满
17,7,CORPS,REQ_FULL,请求已达到上限
17,8,CORPS,NOT_REACH_LIMIT,等级不足，请先提升等级
17,9,CORPS,DIAMOND_INSUFFICIENT,钻石不足
17,10,CORPS,PRESIDENT_CANNOT_EXIT,还有其他成员，会长不能退出公会
17,11,CORPS,HAS_CORPS_ALREADY,已经有公会
17,12,CORPS,HANDLE_CORPS_ERROR,公会数据有误，请刷新
17,13,CORPS,NAME_IS_EMPTY,公会名字为空
17,14,CORPS,CANNOT_IMPEACH,未达到弹劾条件
17,15,CORPS,OTHERS_IMPEACH,已有其它成员发起弹劾
17,16,CORPS,CANNOT_AGREE_IMPEACH,未达到赞成弹劾条件
17,17,CORPS,IMPEACH_OUTTIME,弹劾已超时
17,18,CORPS,QUIT_CORPS_CD,退出公会24小时后才可加入公会
17,19,CORPS,ELDER_IS_ENOUGH,长老人数已满
17,20,CORPS,TODAY_HAS_BUILD,今日已建设该建筑
17,21,CORPS,NO_ENOUGH_GOLD,金币不足
17,22,CORPS,VIP_LEVEL_NOT_REACH,VIP等级不够
17,23,CORPS,CORPS_BUILD_DATA_RESET,公户建设数据已重置
18,1,CHAT,TARGET_NOT_ONLINE,对方不在线
18,2,CHAT,HORN_NUM_LACK,喇叭数不足
18,3,CHAT,MUST_JOIN_CORPS,必须加入一个公会
18,4,CHAT,MSG_CANNOT_EMPTY,聊天内容不能为空
18,5,CHAT,ROLE_LEVEL_LOW,角色等级不够
18,6,CHAT,MUST_JOIN_TEAM,必须加入一个队伍
19,1,SHOP,REFRESH_SHOP_FAILED,刷新商店失败
19,2,SHOP,BUY_WARE_FAILED,购买商品失败
20,1,ELITE_LEVEL,ELITE_LEVEL_NOT_EXISTS,精英关卡不存在
20,2,ELITE_LEVEL,ELITE_LEVEL_NO_STAMINA,体力不足
20,3,ELITE_LEVEL,ELITE_LEVEL_NO_NUM,今日次数已用完
20,4,ELITE_LEVEL,ELITE_LEVEL_NO_RECORD,挑战结束的关卡服务端并没有记录
20,5,ELITE_LEVEL,ELITE_LEVEL_MUST_PASS,必须先通过此关
20,6,ELITE_LEVEL,ELITE_LEVEL_SWEEP_COND,扫荡条件暂时不符合
20,7,ELITE_LEVEL,ELITE_LEVEL_REWARDED,已领取过首杀奖励
20,8,ELITE_LEVEL,ELITE_LEVEL_NO_RESET_NUM,重置次数已用完
20,9,ELITE_LEVEL,ELITE_LEVEL_NEED_PASS_LEVEL,需要通过前置关卡
21,1,TREASURE,TREASURE_MAX_LEVEL,神器已经满级
21,2,TREASURE,TREASURE_NOT_ENOUGE_ITEM,所需神器碎片不足
