神侍天赋等级id,附加状态,升级消耗
id,,upgradeCost
10047,,30000|20500
10048,,30000|20500
10049,,30000|20500
10050,,30000|33000
10051,,30000|33000
10052,,30000|33000
10053,,30000|33000
10054,,30000|33000
10055,,30000|55000
10056,,30000|55000
10057,,30000|55000
10058,,30000|55000
10059,,30000|55000
10060,,30000|85500
10061,,30000|85500
10062,,30000|85500
10063,,30000|85500
10064,,30000|85500
10065,,30000|135000
10066,,30000|135000
10067,,30000|135000
10068,,30000|135000
10069,,30000|135000
10070,,30000|195000
10071,,30000|195000
10072,,30000|195000
10073,,30000|195000
10074,,30000|195000
10075,,30000|280000
10076,,30000|280000
10077,,30000|280000
10078,,30000|280000
10079,,30000|280000
10080,,30000|367000
10081,,30000|367000
10082,,30000|367000
10083,,30000|367000
10084,,30000|367000
10085,,30000|486500
10086,,30000|486500
10087,,30000|486500
10088,,30000|486500
10089,,30000|486500
10090,,30000|604500
10091,,30000|604500
10092,,30000|604500
10093,,30000|604500
10094,,30000|604500
10095,,30000|771500
10096,,30000|771500
10097,,30000|771500
10098,,30000|771500
10099,,30000|771500
11000,,30000|100
11001,,30000|100
11002,,30000|100
11003,,30000|100
11004,,30000|100
11005,,30000|400
11006,,30000|400
11007,,30000|400
11008,,30000|400
11009,,30000|400
11010,,30000|800
11011,,30000|800
11012,,30000|800
11013,,30000|800
11014,,30000|800
11015,,30000|1600
11016,,30000|1600
11017,,30000|1600
11018,,30000|1600
11019,,30000|1600
11020,,30000|3000
11021,,30000|3000
11022,,30000|3000
11023,,30000|3000
11024,,30000|3000
11025,,30000|3500
11026,,30000|3500
11027,,30000|3500
11028,,30000|3500
11029,,30000|3500
11030,,30000|4000
11031,,30000|4000
11032,,30000|4000
11033,,30000|4000
11034,,30000|4000
11035,,30000|7000
11036,,30000|7000
11037,,30000|7000
11038,,30000|7000
11039,,30000|7000
11040,,30000|11500
11041,,30000|11500
11042,,30000|11500
11043,,30000|11500
11044,,30000|11500
11045,,30000|20500
11046,,30000|20500
11047,,30000|20500
11048,,30000|20500
11049,,30000|20500
11050,,30000|33000
11051,,30000|33000
11052,,30000|33000
11053,,30000|33000
11054,,30000|33000
11055,,30000|55000
11056,,30000|55000
11057,,30000|55000
11058,,30000|55000
11059,,30000|55000
11060,,30000|85500
11061,,30000|85500
11062,,30000|85500
11063,,30000|85500
11064,,30000|85500
11065,,30000|135000
11066,,30000|135000
11067,,30000|135000
11068,,30000|135000
11069,,30000|135000
11070,,30000|195000
11071,,30000|195000
11072,,30000|195000
11073,,30000|195000
11074,,30000|195000
11075,,30000|280000
11076,,30000|280000
11077,,30000|280000
11078,,30000|280000
11079,,30000|280000
11080,,30000|367000
11081,,30000|367000
11082,,30000|367000
11083,,30000|367000
11084,,30000|367000
11085,,30000|486500
11086,,30000|486500
11087,,30000|486500
11088,,30000|486500
11089,,30000|486500
11090,,30000|604500
11091,,30000|604500
11092,,30000|604500
11093,,30000|604500
11094,,30000|604500
11095,,30000|771500
11096,,30000|771500
11097,,30000|771500
11098,,30000|771500
11099,,30000|771500
12000,,30000|100
12001,,30000|100
12002,,30000|100
12003,,30000|100
12004,,30000|100
12005,,30000|400
12006,,30000|400
12007,,30000|400
12008,,30000|400
12009,,30000|400
12010,,30000|800
12011,,30000|800
12012,,30000|800
12013,,30000|800
12014,,30000|800
12015,,30000|1600
12016,,30000|1600
12017,,30000|1600
12018,,30000|1600
12019,,30000|1600
12020,,30000|3000
12021,,30000|3000
12022,,30000|3000
12023,,30000|3000
12024,,30000|3000
12025,,30000|3500
12026,,30000|3500
12027,,30000|3500
12028,,30000|3500
12029,,30000|3500
12030,,30000|4000
12031,,30000|4000
12032,,30000|4000
12033,,30000|4000
12034,,30000|4000
12035,,30000|7000
12036,,30000|7000
12037,,30000|7000
12038,,30000|7000
12039,,30000|7000
12040,,30000|11500
12041,,30000|11500
12042,,30000|11500
12043,,30000|11500
12044,,30000|11500
12045,,30000|20500
12046,,30000|20500
12047,,30000|20500
12048,,30000|20500
12049,,30000|20500
12050,,30000|33000
12051,,30000|33000
12052,,30000|33000
12053,,30000|33000
12054,,30000|33000
12055,,30000|55000
12056,,30000|55000
12057,,30000|55000
12058,,30000|55000
12059,,30000|55000
12060,,30000|85500
12061,,30000|85500
12062,,30000|85500
12063,,30000|85500
12064,,30000|85500
12065,,30000|135000
12066,,30000|135000
12067,,30000|135000
12068,,30000|135000
12069,,30000|135000
12070,,30000|195000
12071,,30000|195000
12072,,30000|195000
12073,,30000|195000
12074,,30000|195000
12075,,30000|280000
12076,,30000|280000
12077,,30000|280000
12078,,30000|280000
12079,,30000|280000
12080,,30000|367000
12081,,30000|367000
12082,,30000|367000
12083,,30000|367000
12084,,30000|367000
12085,,30000|486500
12086,,30000|486500
12087,,30000|486500
12088,,30000|486500
12089,,30000|486500
12090,,30000|604500
12091,,30000|604500
12092,,30000|604500
12093,,30000|604500
12094,,30000|604500
12095,,30000|771500
12096,,30000|771500
12097,,30000|771500
12098,,30000|771500
12099,,30000|771500
