随机项ID,随机库ID,对象类型（1道具，2神侍）,对象ID（物品ID或神侍ID）,数量,基础权重,附加权重（使用方法：项权重=项基础权重+附加权重*库未抽中次数，一旦抽中了本库附加权重大于0的项，库未抽中次数清0，库未抽中次数就是累计购买次数减上次本库附加权重大于0的项抽中时所属次数）,翻牌展示 效果（1、简单展示，2紫色展示，3橙色展示）,是否广播（0不广播，1广播）
70,30,1,210008,2,1429,0,1,0
71,30,1,210008,2,1429,0,1,0
72,30,1,210014,2,1429,0,1,0
73,30,1,210002,2,1429,0,1,0
74,30,1,210006,2,1429,0,1,0
75,30,1,210013,2,1429,0,1,0
76,30,1,210013,2,1429,0,1,0
77,30,1,210014,2,1429,0,1,0
78,30,1,210002,2,1429,0,1,0
79,30,1,210006,2,1429,0,1,0
80,30,1,210013,2,1429,0,1,0
81,30,1,210002,4,1429,0,1,0
82,30,1,210006,4,1429,0,1,0
83,30,1,210014,4,1429,0,1,0
84,30,1,210008,4,1429,0,1,0
85,30,1,210008,4,1429,0,1,0
86,30,1,210014,4,1429,0,1,0
87,30,1,210002,4,1429,0,1,0
88,30,1,210006,4,1429,0,1,0
89,30,1,210013,4,1429,0,1,0
90,30,1,210013,4,1429,0,1,0
91,30,1,210014,4,1429,0,1,0
92,30,1,210002,4,1429,0,1,0
93,30,1,210006,4,1429,0,1,0
94,30,1,210013,4,1429,0,1,0
95,30,1,20000,100,0,0,1,0
96,30,1,20001,100,5000,0,1,0
97,30,1,20002,30,10000,0,2,0
98,30,1,20003,10,5000,0,2,0
99,30,1,10001,10,10000,0,1,0
100,30,1,10001,2,4000,0,1,0
101,30,1,40000,10,10000,0,1,0
102,30,1,40000,50,10000,0,1,0
103,30,1,40100,50,10000,0,1,0
104,30,1,40001,10,3000,0,2,0
105,30,1,40101,10,3000,0,2,0
106,31,2,cw_8,1,100,0,3,1
107,40,2,cw_2,1,667,0,3,1
108,40,2,cw_6,1,667,0,3,1
109,40,2,cw_14,1,667,0,3,1
110,40,2,cw_8,1,667,0,3,1
111,40,2,cw_8,1,667,0,3,1
112,40,2,cw_14,1,667,0,3,1
113,40,2,cw_2,1,400,0,3,1
114,40,2,cw_6,1,400,0,3,1
115,40,2,cw_13,1,400,0,3,1
116,40,2,cw_13,1,400,0,3,1
117,40,2,cw_14,1,400,0,3,1
118,40,2,cw_2,1,0,0,3,1
119,40,2,cw_6,1,0,0,3,1
120,40,2,cw_13,1,0,0,3,1
121,40,1,210002,1,857,0,1,0
122,40,1,210006,1,857,0,1,0
123,40,1,210014,1,857,0,1,0
124,40,1,210008,1,857,0,1,0
125,40,1,210008,1,857,0,1,0
126,40,1,210014,1,857,0,1,0
127,40,1,210002,1,857,0,1,0
128,40,1,210006,1,857,0,1,0
129,40,1,210013,1,857,0,1,0
130,40,1,210013,1,857,0,1,0
131,40,1,210014,1,857,0,1,0
132,40,1,210002,1,857,0,1,0
133,40,1,210006,1,857,0,1,0
134,40,1,210013,1,857,0,1,0
135,40,1,210002,2,1429,0,1,0
136,40,1,210006,2,1429,0,1,0
137,40,1,210014,2,1429,0,1,0
138,40,1,210008,2,1429,0,1,0
139,40,1,210008,2,1429,0,1,0
140,40,1,210014,2,1429,0,1,0
141,40,1,210002,2,1429,0,1,0
142,40,1,210006,2,1429,0,1,0
143,40,1,210013,2,1429,0,1,0
144,40,1,210013,2,1429,0,1,0
145,40,1,210014,2,1429,0,1,0
146,40,1,210002,2,1429,0,1,0
147,40,1,210006,2,1429,0,1,0
148,40,1,210013,2,1429,0,1,0
149,40,1,210002,4,1429,0,1,0
150,40,1,210006,4,1429,0,1,0
151,40,1,210014,4,1429,0,1,0
152,40,1,210008,4,1429,0,1,0
153,40,1,210008,4,1429,0,1,0
154,40,1,210014,4,1429,0,1,0
155,40,1,210002,4,1429,0,1,0
156,40,1,210006,4,1429,0,1,0
157,40,1,210013,4,1429,0,1,0
158,40,1,210013,4,1429,0,1,0
159,40,1,210014,4,1429,0,1,0
160,40,1,210002,4,1429,0,1,0
161,40,1,210006,4,1429,0,1,0
162,40,1,210013,4,1429,0,1,0
163,40,1,20000,100,0,0,1,0
164,40,1,20001,100,5000,0,1,0
165,40,1,20002,30,12000,0,2,0
166,40,1,20003,10,5000,0,2,0
167,40,1,10001,10,10000,0,1,0
168,40,1,10001,2,5000,0,1,0
169,40,1,40000,10,15000,0,1,0
170,40,1,40000,50,10000,0,1,0
171,40,1,40100,50,10000,0,1,0
172,40,1,40001,10,5000,0,2,0
173,40,1,40101,10,5000,0,2,0
174,41,2,cw_2,1,333,0,3,1
175,41,2,cw_6,1,333,0,3,1
176,41,2,cw_14,1,333,0,3,1
177,41,2,cw_8,1,333,0,3,1
178,41,2,cw_8,1,333,0,3,1
179,41,2,cw_14,1,333,0,3,1
180,41,2,cw_2,1,1200,0,3,1
181,41,2,cw_6,1,1200,0,3,1
182,41,2,cw_13,1,1200,0,3,1
183,41,2,cw_13,1,1200,0,3,1
184,41,2,cw_14,1,1200,0,3,1
185,41,2,cw_2,1,667,0,3,1
186,41,2,cw_6,1,667,0,3,1
187,41,2,cw_13,1,667,0,3,1
